"Name","K","Kin","Kout","TypeI","TypeII","Type"
"RNF2",22,18,4,0,1,"coding"
"COL7A1",15,12,3,0,1,"coding"
"BMP2",36,31,5,0,1,"coding"
"BMPR2",76,63,13,0,1,"coding"
"GDF9",16,4,12,0,1,"coding"
"STUB1",18,5,13,0,1,"coding"
"TUBB",68,55,13,0,1,"coding"
"PTK2",73,40,33,0,1,"coding"
"BNIP3L",34,29,5,0,1,"coding"
"ROBO2",29,21,8,0,1,"coding"
"BRCA2",16,12,4,0,1,"coding"
"CTBP2",19,17,2,0,1,"coding"
"NFYA",115,32,83,0,1,"coding"
"NMI",15,14,1,0,1,"coding"
"RFC1",21,18,3,0,1,"coding"
"BTBD2",23,21,2,0,1,"coding"
"HIST4H4",12,10,2,0,1,"coding"
"RBL2",42,36,6,0,1,"coding"
"PDLIM7",18,13,5,0,1,"coding"
"TRIM5",9,8,1,0,1,"coding"
"BTK",52,8,44,0,1,"coding"
"KHDRBS1",36,30,6,0,1,"coding"
"KIT",55,26,29,0,1,"coding"
"LYN",99,56,43,0,1,"coding"
"MYD88",26,18,8,0,1,"coding"
"PLCG2",61,43,18,0,1,"coding"
"PRKCQ",15,8,7,0,1,"coding"
"SYK",56,20,36,0,1,"coding"
"TNFRSF14",21,12,9,0,1,"coding"
"BTRC",54,41,13,0,1,"coding"
"SKP1",37,32,5,0,1,"coding"
"WEE1",27,21,6,0,1,"coding"
"BUB1",31,26,5,0,1,"coding"
"PLK1",57,34,23,0,1,"coding"
"BUB1B",10,8,2,0,1,"coding"
"C11orf58",23,17,6,0,1,"coding"
"KIAA1377",55,22,33,0,1,"coding"
"RPLP1",35,27,8,0,1,"coding"
"SF3B1",24,19,5,0,1,"coding"
"POLR2C",17,14,3,0,1,"coding"
"TSNAX",11,9,2,0,1,"coding"
"C1QBP",23,19,4,0,1,"coding"
"DCN",24,14,10,0,1,"coding"
"UBQLN4",69,37,32,0,1,"coding"
"C5",5,3,2,0,1,"coding"
"C6",6,5,1,0,1,"coding"
"FGFR3",24,13,11,0,1,"coding"
"C7orf25",13,9,4,0,1,"coding"
"C8orf33",34,29,5,0,1,"coding"
"FEZ1",26,8,18,0,1,"coding"
"IMMT",30,15,15,0,1,"coding"
"CA2",5,4,1,0,1,"coding"
"CCNE1",38,32,6,0,1,"coding"
"CACHD1",16,14,2,0,1,"coding"
