No,Predicted_Driver,Degree,In-degree,Out-degree,Number_of_mutated_samples,In_CGC
193,GDF9,23,5,18,7,FALSE
194,HDAC4,47,42,5,7,FALSE
195,IGF1R,152,132,20,7,FALSE
196,IL16,20,14,6,7,FALSE
197,ITGAV,41,31,10,7,TRUE
198,JAK2,67,29,38,7,TRUE
199,JUP,26,19,7,7,FALSE
200,MCM7,65,54,11,7,FALSE
,,46,36,10,7,
,,26,21,5,7,
,,26,23,3,7,
,,33,23,10,7,
,,7,5,2,7,
,,78,66,12,7,
,,49,34,15,7,
,,49,23,26,7,
,,59,39,20,7,
,,15,13,2,7,
,,13,12,1,7,
,,37,35,2,7,
,,27,20,7,7,
,,156,50,106,7,
,,24,13,11,7,
,,40,35,5,7,
,,44,34,10,7,
,,29,18,11,7,
,,47,31,16,7,
,,31,28,3,7,
,,20,17,3,7,
,,33,29,4,7,
,,31,12,19,7,
,,51,48,3,6,
,,49,37,12,6,
,,35,20,15,6,
,,9,8,1,6,
,,30,22,8,6,
,,22,15,7,6,
,,14,9,5,6,
,,81,58,23,6,
,,6,3,3,6,
,,93,78,15,6,
,,6,4,2,6,
,,31,23,8,6,
,,52,50,2,6,
,,30,27,3,6,
,,15,8,7,6,
,,208,34,174,6,
,,52,43,9,6,
,,36,27,9,6,
,,24,19,5,6,
,,249,29,220,6,
,,8,5,3,6,
,,47,37,10,6,
,,26,17,9,6,
,,21,20,1,6,
,,37,18,19,6,
,,79,56,23,6,
,,49,40,9,6,
,,44,34,10,6,
,,19,8,11,6,
,,21,16,5,6,
,,36,27,9,6,
,,117,71,46,6,
,,126,86,40,6,
,,20,14,6,6,
,,67,51,16,6,
,,57,12,45,6,
,,6,5,1,6,
,,23,20,3,6,
,,160,32,128,6,
,,23,17,6,6,
,,47,41,6,6,
,,35,29,6,6,
,,24,21,3,6,
,,48,38,10,6,
,,8,4,4,6,
,,59,41,18,6,
,,32,25,7,6,
,,7,4,3,6,
,,68,63,5,6,
,,19,14,5,6,
,,22,16,6,6,
,,52,50,2,6,
,,71,48,23,6,
,,56,55,1,6,
,,343,104,239,6,
,,28,26,2,6,
,,12,8,4,6,
,,19,6,13,6,
,,26,22,4,6,
,,75,37,38,6,
,,41,37,4,6,
,,29,20,9,6,
,,120,84,36,6,
,,28,13,15,6,
,,26,22,4,6,
,,128,97,31,5,
,,21,12,9,5,
,,11,9,2,5,
,,5,3,2,5,
,,19,8,11,5,
,,12,10,2,5,
,,501,54,447,5,
,,39,35,4,5,
,,158,99,59,5,
,,45,36,9,5,
,,18,14,4,5,
,,6,2,4,5,
,,36,24,12,5,
,,23,17,6,5,
,,31,23,8,5,
,,40,28,12,5,
,,61,58,3,5,
,,73,56,17,5,
,,30,20,10,5,
,,28,27,1,5,
,,49,44,5,5,
,,48,31,17,5,
,,82,63,19,5,
,,79,48,31,5,
,,12,3,9,5,
,,17,16,1,5,
,,16,10,6,5,
,,45,36,9,5,
,,49,35,14,5,
,,8,5,3,5,
,,53,48,5,5,
,,13,10,3,5,
,,99,63,36,5,
,,125,33,92,5,
,,25,24,1,5,
,,37,34,3,5,
,,4,2,2,5,
,,28,26,2,5,
,,19,14,5,5,
,,110,22,88,5,
,,67,43,24,5,
,,51,35,16,5,
,,74,55,19,5,
,,20,12,8,5,
,,9,4,5,5,
,,12,7,5,5,
,,31,23,8,5,
,,24,20,4,5,
,,18,14,4,5,
,,34,32,2,5,
,,65,45,20,5,
,,25,12,13,5,
,,60,35,25,5,
,,67,24,43,5,
,,46,41,5,5,
,,16,13,3,5,
,,79,74,5,5,
,,29,27,2,5,
,,21,14,7,5,
,,34,32,2,5,
,,5,4,1,4,
,,56,45,11,4,
,,36,32,4,4,
,,21,20,1,4,
,,17,7,10,4,
,,40,20,20,4,
,,9,6,3,4,
,,44,35,9,4,
,,37,33,4,4,
,,71,58,13,4,
,,40,35,5,4,
,,36,28,8,4,
,,103,68,35,4,
,,110,76,34,4,
,,10,8,2,4,
,,13,8,5,4,
,,43,23,20,4,
,,28,13,15,4,
,,18,11,7,4,
,,48,46,2,4,
,,21,15,6,4,
,,93,82,11,4,
,,19,13,6,4,
,,26,23,3,4,
,,13,10,3,4,
,,202,67,135,4,
,,23,18,5,4,
,,27,25,2,4,
,,28,15,13,4,
,,25,16,9,4,
,,49,34,15,4,
,,23,18,5,4,
,,57,26,31,4,
,,76,70,6,4,
,,27,24,3,4,
,,17,11,6,4,
,,4,3,1,4,
,,19,11,8,4,
,,37,21,16,4,
,,18,9,9,4,
,,23,20,3,4,
,,41,27,14,4,
,,31,15,16,4,
,,66,59,7,4,
,,77,72,5,4,
,,84,67,17,4,
,,35,25,10,4,
,,7,3,4,4,
,,28,23,5,4,
,,9,6,3,4,
,,61,52,9,4,
,,58,45,13,4,
,,46,40,6,4,
,,11,8,3,4,
,,56,35,21,4,
,,10,9,1,4,
,,6,5,1,4,
,,41,30,11,4,
,,14,10,4,4,
,,29,22,7,4,
,,20,14,6,4,
,,32,21,11,4,
,,24,20,4,4,
,,18,14,4,4,
,,110,96,14,4,
,,145,75,70,4,
,,29,28,1,4,
,,73,45,28,4,
,,35,33,2,4,
,,9,7,2,4,
,,3,2,1,4,
,,68,60,8,4,
,,25,19,6,4,
,,8,5,3,4,
,,7,2,5,4,
,,175,56,119,4,
,,45,41,4,4,
,,28,21,7,4,
,,27,19,8,4,
,,79,48,31,4,
,,29,26,3,4,
,,163,53,110,4,
,,45,40,5,4,
,,10,7,3,4,
,,241,26,215,4,
,,128,77,51,4,
,,107,91,16,4,
,,43,20,23,4,
,,43,30,13,4,
,,62,26,36,4,
,,38,32,6,4,
,,26,22,4,4,
,,55,49,6,4,
,,69,58,11,4,
,,25,19,6,4,
,,22,18,4,4,
,,62,42,20,4,
,,18,12,6,4,
,,31,22,9,4,
,,15,12,3,4,
,,25,17,8,4,
,,6,3,3,3,
,,30,27,3,3,
,,22,20,2,3,
