"","gene","p","fdr"
"PCNT","PCNT",0.000165757486967611,0.0221262074698824
"COL6A6","COL6A6",1,1
"SCLT1","SCLT1",1,1
"MAP3K1","MAP3K1",1,1
"ZSCAN12","ZSCAN12",1,1
"CHN2","CHN2",1,1
"HIPK1","HIPK1",1,1
"CYB5R1","CYB5R1",1,1
"PPRC1","PPRC1",1,1
"RPP38","RPP38",0.0363167609630675,0.249055933319327
"RBM19","RBM19",0.0348424040486396,0.242948239329729
"SLCO1C1","SLCO1C1",1,1
"BIN2","BIN2",1,1
"ERBB3","ERBB3",0.0078589228338174,0.116352544373529
"MTHFD1","MTHFD1",1,1
"SPTBN5","SPTBN5",1,1
"SALL1","SALL1",1,1
"VAC14","VAC14",1,1
"CNTNAP4","CNTNAP4",1,1
"MYO18A","MYO18A",1,1
"DHX58","DHX58",1,1
"CEP95","CEP95",1,1
"RPTOR","RPTOR",0.0103455311281721,0.130821259808684
"EMILIN2","EMILIN2",1,1
"USP37","USP37",1,1
"PSMD1","PSMD1",0.00894823302619446,0.122443903684916
"IL10RB","IL10RB",1,1
"KCNJ4","KCNJ4",1,1
"ATF4","ATF4",1,1
"PACSIN2","PACSIN2",1,1
"ROBO2","ROBO2",1,1
"PDLIM4","PDLIM4",0.0171774027796515,0.165295267499566
"PCDHGB4","PCDHGB4",1,1
"RBM27","RBM27",1,1
"WTAP","WTAP",1,1
"SRPK1","SRPK1",1,1
"UFL1","UFL1",1,1
"INTS1","INTS1",0.0439900219673705,0.280423017844969
"OGDH","OGDH",1,1
"AKAP9","AKAP9",1,1
"HOOK3","HOOK3",1,1
"HGSNAT","HGSNAT",1,1
"CNGB3","CNGB3",1,1
"PAK3","PAK3",0.00674404842947833,0.111765509805941
"MAGEA1","MAGEA1",0.0152368053451098,0.154607059619343
"PHEX","PHEX",1,1
"AKAP4","AKAP4",0.0010234874564186,0.0511074174195333
"ARID2","ARID2",0.00358864110083566,0.0878029043702796
"ARHGEF1","ARHGEF1",1,1
"CHAF1A","CHAF1A",1,1
"CASP2","CASP2",1,1
"TUBGCP2","TUBGCP2",1,1
"FAM107B","FAM107B",1,1
"MASTL","MASTL",1,1
"NPAS4","NPAS4",1,1
"ACVR1B","ACVR1B",1,1
"OR11H4","OR11H4",1,1
"NPAS3","NPAS3",1,1
"FRMD6","FRMD6",0.0448947746919937,0.282068975176472
"ZNF592","ZNF592",1.8227793765651e-05,0.00674327103808167
"MPO","MPO",1,1
"RTTN","RTTN",1,1
"COL5A3","COL5A3",1,1
"USE1","USE1",1,1
"ZNF562","ZNF562",1,1
"GCC2","GCC2",1,1
"HECW2","HECW2",1,1
"E2F1","E2F1",1,1
"GTPBP5","GTPBP5",0.0244992126686571,0.199348384261821
"IQCB1","IQCB1",1,1
"RNF123","RNF123",1,1
"CACNA1D","CACNA1D",1,1
"DNAH12","DNAH12",1,1
"RAPGEF6","RAPGEF6",0.0253725155341202,0.204052633987568
"FAM114A2","FAM114A2",1,1
"DOK3","DOK3",1,1
"HIST1H2AL","HIST1H2AL",1,1
"KCND2","KCND2",1,1
"ZFPM2","ZFPM2",1,1
"NR6A1","NR6A1",1,1
"DUSP9","DUSP9",0.020383872871069,0.183179769835963
"EFNB1","EFNB1",1,1
"ENSA","ENSA",0.0143726506287057,0.152079797465359
"GNPAT","GNPAT",1,1
"HNRNPU","HNRNPU",0.024078106530324,0.197458265252989
"USP1","USP1",1,1
"CASP1","CASP1",1,1
"FNBP4","FNBP4",1,1
"SLC2A13","SLC2A13",1,1
"BDKRB1","BDKRB1",1,1
"SHISA6","SHISA6",1,1
"NBAS","NBAS",1,1
"NUP35","NUP35",1,1
"TNRC6B","TNRC6B",1,1
"GAR1","GAR1",1,1
"BACH2","BACH2",0.000633908797223648,0.0405451174446245
"ABCB1","ABCB1",1,1
"FZD1","FZD1",1,1
"CPSF4","CPSF4",1,1
"STRBP","STRBP",1,1
"EHMT1","EHMT1",0.00933489816564118,0.12498008851904
"VLDLR","VLDLR",1,1
"SV2A","SV2A",1,1
"CHD9","CHD9",1,1
"ACTBL2","ACTBL2",0.00668611738310516,0.111765509805941
"ABL2","ABL2",0.02232676008361,0.188194804299695
"CR1","CR1",1,1
"EPB41","EPB41",1,1
"EGR2","EGR2",1,1
"NPAT","NPAT",0.0345533657877749,0.241946227950361
"ACER3","ACER3",1,1
"MYBPC1","MYBPC1",1,1
"ATXN2","ATXN2",1,1
"NACA","NACA",1,1
"PTPRQ","PTPRQ",1,1
"NUFIP1","NUFIP1",1,1
"LMO7","LMO7",1,1
"CASC5","CASC5",0.0328775375426653,0.23668272702336
"PLXDC1","PLXDC1",1,1
"TBCD","TBCD",1,1
"KCTD1","KCTD1",1,1
"YES1","YES1",0.0277777787015918,0.213726412920234
"ZNF296","ZNF296",1,1
"ZNF808","ZNF808",1,1
"NLRP13","NLRP13",1,1
"ASNSD1","ASNSD1",1,1
"PTH2R","PTH2R",1,1
"CTDSP1","CTDSP1",1,1
"CAD","CAD",0.030456676101049,0.227228756338438
"OPRL1","OPRL1",0.0164626697281222,0.161927500324321
"SOD1","SOD1",0.00552117939140366,0.105952547251921
"TRIM42","TRIM42",1,1
"ATR","ATR",1,1
"FAT4","FAT4",1,1
"HTT","HTT",1,1
"TMPRSS11E","TMPRSS11E",1,1
"PCDHA7","PCDHA7",1,1
"PCDHB7","PCDHB7",1,1
"WWC1","WWC1",1,1
"HIST1H2AK","HIST1H2AK",1,1
"BAI3","BAI3",1,1
"MDN1","MDN1",1,1
"RGS22","RGS22",1,1
"PLEC","PLEC",6.03473430815498e-06,0.00446503286200045
"EEA1","EEA1",1,1
"IPO4","IPO4",1,1
"DNAH3","DNAH3",1,1
"NNT","NNT",1,1
"CLIC5","CLIC5",0.00736846073879579,0.112538028416416
"CA9","CA9",1,1
"OGN","OGN",1,1
"AHDC1","AHDC1",1,1
"PIP4K2A","PIP4K2A",1,1
"SOX6","SOX6",1,1
"NR1H4","NR1H4",1,1
"IPO8","IPO8",1,1
"BDKRB2","BDKRB2",1,1
"DYNC1LI2","DYNC1LI2",0.00270285984940103,0.0798075712472703
"P2RX5","P2RX5",1,1
"ARHGAP23","ARHGAP23",0.0207656333857555,0.185111583287478
"RNF213","RNF213",6.48972852598797e-08,7.20251704242565e-05
"HRH1","HRH1",0.0332048347439584,0.237321771710852
"KLB","KLB",1,1
"ADGB","ADGB",1,1
"CCDC167","CCDC167",1,1
"CALU","CALU",1,1
"ENPP2","ENPP2",1,1
"TNC","TNC",1,1
"CAMSAP1","CAMSAP1",0.0087889754677299,0.121422795932808
"ZC3H12C","ZC3H12C",1,1
"MDM2","MDM2",1,1
"ATN1","ATN1",1,1
"PYGB","PYGB",1,1
"ENOX2","ENOX2",1,1
"HDX","HDX",1,1
"PRUNE","PRUNE",1,1
"YY1AP1","YY1AP1",0.0487444705221745,0.296699661066874
"SPTA1","SPTA1",0.0254988508630391,0.204633946901834
"SZT2","SZT2",1,1
"IFT88","IFT88",0.0295024646135255,0.222886831992413
"SLTM","SLTM",4.6117132443571e-05,0.0114637846416794
"CDH11","CDH11",1,1
"ZCCHC2","ZCCHC2",1,1
"SYDE1","SYDE1",1,1
"ADA","ADA",0.0359047855010445,0.247110200217672
"CBS","CBS",1,1
"GMPS","GMPS",1,1
"FREM3","FREM3",1,1
"HPSE","HPSE",1,1
"ELL2","ELL2",1,1
"METTL7A","METTL7A",1,1
"TUBA3C","TUBA3C",0.00389779953713021,0.0889206971919284
"MYRIP","MYRIP",1,1
"MRFAP1L1","MRFAP1L1",0.0414167064474696,0.268259824242591
"POLR1C","POLR1C",1,1
"GAPVD1","GAPVD1",0.0259752192800836,0.206653506793401
"MSL3","MSL3",0.0483055148297476,0.294296819077118
"MACF1","MACF1",1,1
"AKAP11","AKAP11",0.00122249396669806,0.0561419815464993
"TRIP11","TRIP11",1,1
"CTCF","CTCF",6.15455275683469e-08,7.20251704242565e-05
"UPF1","UPF1",0.000828855808249105,0.0452405805502524
"DOCK10","DOCK10",1,1
"CLTCL1","CLTCL1",0.000544198950803982,0.0381454822463549
"IQCG","IQCG",1,1
"KCTD7","KCTD7",1,1
"AFF2","AFF2",1,1
"FMO1","FMO1",1,1
"PTPN14","PTPN14",1,1
"LARP4B","LARP4B",0.00830453323612353,0.119966662630115
"OR4S2","OR4S2",1,1
"ATG2B","ATG2B",0.00537049962936703,0.105493088589838
"DSG3","DSG3",0.00895801327794073,0.122443903684916
"KIF16B","KIF16B",1,1
"TBL1XR1","TBL1XR1",1,1
"PKHD1","PKHD1",1,1
"SARDH","SARDH",1,1
"SIPA1L2","SIPA1L2",0.0341102271397092,0.240359791029972
"LYST","LYST",1,1
"NUDT5","NUDT5",1,1
"KIF11","KIF11",1,1
"MLL2","MLL2",0.0333361127647395,0.237417299358717
"MCRS1","MCRS1",1,1
"KRT1","KRT1",0.000771865587694753,0.042832107903828
"LTBP2","LTBP2",1,1
"HCN4","HCN4",0.00481374436522563,0.101016910440849
"FBXO22","FBXO22",1,1
"MYH11","MYH11",1,1
"TBL3","TBL3",1,1
"EFCAB5","EFCAB5",1,1
"ST6GALNAC1","ST6GALNAC1",1,1
"MYH10","MYH10",1,1
"CDH2","CDH2",1,1
"ZNF486","ZNF486",1,1
"SYCP2","SYCP2",1,1
"CLASP2","CLASP2",0.0166995704903289,0.16282160400962
"ANK2","ANK2",0.000285731591759061,0.0292721026080552
"TKTL2","TKTL2",1,1
"PCDHA4","PCDHA4",1,1
"LARS","LARS",1,1
"ITK","ITK",1,1
"ABCF1","ABCF1",1,1
"TBCC","TBCC",0.0015474268738065,0.0617024924547347
"CDYL","CDYL",0.0353982307585652,0.245322854554965
"SLC25A13","SLC25A13",1,1
"EXT1","EXT1",1,1
"TBL1X","TBL1X",1,1
"EHF","EHF",1,1
"SPNS1","SPNS1",1,1
"SRCAP","SRCAP",0.00859233580320577,0.1209648289927
"NYAP2","NYAP2",1,1
"PARP12","PARP12",1,1
"TUBA1C","TUBA1C",0.0218009530532963,0.187078023688015
"SYT16","SYT16",1,1
"ANPEP","ANPEP",1,1
"GLTSCR2","GLTSCR2",1,1
"SNTA1","SNTA1",1,1
"CPT1B","CPT1B",1,1
"GOLGB1","GOLGB1",0.00664976484811688,0.111765509805941
"ROBO1","ROBO1",0.0263038855237761,0.207872882853526
"CMYA5","CMYA5",1,1
"TTK","TTK",0.0100614152774114,0.129996280258623
"CARD9","CARD9",1,1
"GNE","GNE",1,1
"SF3B4","SF3B4",0.0219551332007896,0.187194919313774
"HSPG2","HSPG2",0.0240547534348733,0.197458265252989
"DRD4","DRD4",1,1
"KIAA1199","KIAA1199",1,1
"CCDC79","CCDC79",1,1
"WWP2","WWP2",1,1
"MYO1D","MYO1D",1,1
"CDK12","CDK12",1,1
"BCAT2","BCAT2",1,1
"VRK3","VRK3",1,1
"ZNF160","ZNF160",1,1
"PPP6R1","PPP6R1",1,1
"JPH2","JPH2",1,1
"BRWD1","BRWD1",0.00151718274689373,0.0617024924547347
"PRRT3","PRRT3",1,1
"SCFD2","SCFD2",1,1
"RP1","RP1",1,1
"TCEAL2","TCEAL2",1,1
"RPS6KA6","RPS6KA6",0.044937709355447,0.282068975176472
"CSF1","CSF1",1,1
"INSRR","INSRR",1,1
"DEGS1","DEGS1",1,1
"NVL","NVL",0.00166786337328613,0.0650616142010612
"EFCAB7","EFCAB7",0.0331625648248532,0.237321771710852
"ZZZ3","ZZZ3",1,1
"USP33","USP33",1,1
"BLOC1S2","BLOC1S2",1,1
"DHTKD1","DHTKD1",1,1
"NET1","NET1",0.00754224591782524,0.113628542006331
"HEPACAM","HEPACAM",1,1
"PSMA1","PSMA1",0.00978668389004818,0.127533322942917
"RRM1","RRM1",1,1
"CDHR5","CDHR5",1,1
"PAK1","PAK1",0.0104189607605128,0.131152853883279
"SART3","SART3",0.00486752752319698,0.101016910440849
"ETV6","ETV6",0.0320000852741708,0.234420866711445
"BICD1","BICD1",1,1
"FGD4","FGD4",1,1
"PKP2","PKP2",1,1
"TUBA1B","TUBA1B",0.0141084434279584,0.15031699965884
"CS","CS",1,1
"R3HDM2","R3HDM2",1,1
"KL","KL",1,1
"CDC42BPB","CDC42BPB",1,1
"DENND4A","DENND4A",1,1
"ZC3H7A","ZC3H7A",1,1
"MKL2","MKL2",1,1
"NOMO1","NOMO1",1,1
