"","gene","p","fdr"
"PGBD5","PGBD5",1,1
"SOGA2","SOGA2",1,1
"DNASE2","DNASE2",1,1
"TRMT1","TRMT1",0.000465416063230866,0.0360372740122598
"BST2","BST2",1,1
"ELAVL1","ELAVL1",1,1
"QARS","QARS",1,1
"RAD54L2","RAD54L2",1,1
"WDR19","WDR19",1,1
"TBP","TBP",1,1
"HOXA1","HOXA1",1,1
"FAM102B","FAM102B",0.00964232838093205,0.12614591283704
"INTS7","INTS7",1,1
"HSPA14","HSPA14",0.0186930716383829,0.175319949352101
"AMBRA1","AMBRA1",0.0125990787245124,0.144401489202286
"FAR2","FAR2",1,1
"ASIC1","ASIC1",1,1
"GPR132","GPR132",1,1
"TMC3","TMC3",1,1
"RRN3","RRN3",1,1
"ARHGAP17","ARHGAP17",1,1
"GPR179","GPR179",0.00729791390626003,0.112405268323467
"NDC80","NDC80",1,1
"ENOSF1","ENOSF1",1,1
"ROCK2","ROCK2",1,1
"KIF5C","KIF5C",1,1
"MMP11","MMP11",1,1
"ATG3","ATG3",1,1
"PLXNA1","PLXNA1",1,1
"PROM1","PROM1",1,1
"SEPSECS","SEPSECS",1,1
"CORIN","CORIN",1,1
"EPHA5","EPHA5",1,1
"HELQ","HELQ",1,1
"SPP1","SPP1",0.0152540679035754,0.154607059619343
"PCDHB5","PCDHB5",1,1
"SEC63","SEC63",1,1
"PACSIN1","PACSIN1",1,1
"FBXL18","FBXL18",1,1
"CYTH3","CYTH3",1,1
"LPAR1","LPAR1",1,1
"MPP1","MPP1",1,1
"BRAF","BRAF",1,1
"CD3G","CD3G",1,1
"TIRAP","TIRAP",1,1
"SSH3","SSH3",1,1
"GAS7","GAS7",1,1
"KRI1","KRI1",1,1
"MPHOSPH10","MPHOSPH10",1,1
"CCDC136","CCDC136",1,1
"TRPV6","TRPV6",1,1
"MTMR7","MTMR7",1,1
"TXLNG","TXLNG",1,1
"GPR64","GPR64",1,1
"SAT1","SAT1",0.0167002786512345,0.16282160400962
"PRKAA2","PRKAA2",0.0304723350968952,0.227228756338438
"CNNM2","CNNM2",1,1
"CBL","CBL",1,1
"TRAF6","TRAF6",1,1
"SYTL2","SYTL2",1,1
"TRPV4","TRPV4",1,1
"LEO1","LEO1",1,1
"IREB2","IREB2",0.0388003755073874,0.257955213334535
"SSTR2","SSTR2",1,1
"ABR","ABR",1,1
"ZNF324","ZNF324",1,1
"BCR","BCR",0.000629352938540628,0.0405451174446245
"PDS5A","PDS5A",0.000127255674318195,0.0192589894382924
"SPARCL1","SPARCL1",1,1
"TRPC7","TRPC7",1,1
"NHP2","NHP2",1,1
"SLC6A17","SLC6A17",1,1
"USP21","USP21",1,1
"WDR26","WDR26",1,1
"STAM","STAM",1,1
"SEC23A","SEC23A",1,1
"CNOT1","CNOT1",1,1
"MC4R","MC4R",1,1
"TMEM163","TMEM163",1,1
"TOMM22","TOMM22",1,1
"NPR3","NPR3",0.0493607342459828,0.299398394665743
"ZKSCAN4","ZKSCAN4",1,1
"LMTK2","LMTK2",1,1
"TRIM55","TRIM55",1,1
"RAPGEF1","RAPGEF1",1,1
"SYAP1","SYAP1",1,1
"DENND2C","DENND2C",1,1
"TBK1","TBK1",1,1
"TMTC4","TMTC4",0.0190616690492161,0.177411440516647
"UPF3A","UPF3A",1,1
"DOCK9","DOCK9",1,1
"AP4E1","AP4E1",1,1
"IL18RAP","IL18RAP",1,1
"BAZ2B","BAZ2B",1,1
"PLCL1","PLCL1",0.0258421180701089,0.206334129770809
"MAPRE3","MAPRE3",1,1
"TTC28","TTC28",1,1
"SENP7","SENP7",1,1
"RBMS3","RBMS3",1,1
"JMY","JMY",1,1
"HIST1H3J","HIST1H3J",0.0220469287566504,0.187258289018539
"CDK13","CDK13",0.00726337450866103,0.112405268323467
"CDK6","CDK6",1,1
"TMEM9","TMEM9",1,1
"LGR6","LGR6",1,1
"YIPF1","YIPF1",1,1
"VAMP3","VAMP3",1,1
"DHX32","DHX32",1,1
"DNAJC9","DNAJC9",1,1
"ATP5C1","ATP5C1",1,1
"EFNB2","EFNB2",0.0318756901344619,0.233766762781258
"MAP2K3","MAP2K3",1,1
"AQP4","AQP4",0.00287475401732645,0.0809302554650841
"TTC38","TTC38",1,1
"ZNF141","ZNF141",1,1
"SEMA5A","SEMA5A",1,1
"AGK","AGK",1,1
"KRIT1","KRIT1",1,1
"XPO7","XPO7",1,1
"RPL7","RPL7",1,1
"STOM","STOM",1,1
"ZNF33A","ZNF33A",1,1
"NFRKB","NFRKB",0.00483382353157262,0.101016910440849
"SH2B1","SH2B1",1,1
"KIAA0100","KIAA0100",1,1
"GAD1","GAD1",1,1
"DTNB","DTNB",0.00440373068188969,0.0958248814601881
"CRNKL1","CRNKL1",1,1
"SFMBT1","SFMBT1",1,1
"RREB1","RREB1",0.00527198263140863,0.104175698208849
"ELMO1","ELMO1",1,1
"TATDN1","TATDN1",1,1
"PSMD4","PSMD4",1,1
"PGM1","PGM1",1,1
"GPR114","GPR114",1,1
"MYBBP1A","MYBBP1A",0.0122214152615805,0.142966786138598
"TFRC","TFRC",0.00779319365667664,0.116310613573589
"ISL1","ISL1",1,1
"COG5","COG5",1,1
"ZNF680","ZNF680",0.00352047480425704,0.0878029043702796
"PGD","PGD",1,1
"TOR1AIP1","TOR1AIP1",0.0499648281206433,0.301919955041165
"NTSR2","NTSR2",1,1
"CAMK2D","CAMK2D",0.011362427549184,0.136762079033427
"HIST2H2BF","HIST2H2BF",1,1
"RERE","RERE",1.21073179242094e-05,0.00575875928980788
"ARHGEF17","ARHGEF17",1,1
"RNF157","RNF157",1,1
"GABPA","GABPA",1,1
"CSTF2","CSTF2",1,1
"CHI3L1","CHI3L1",1,1
"ZMYM4","ZMYM4",1,1
"ERMAP","ERMAP",1,1
"NRD1","NRD1",1,1
"COL17A1","COL17A1",1,1
"ITGB1","ITGB1",0.0346266695888061,0.242204824361197
"CCDC73","CCDC73",1,1
"CSTF3","CSTF3",0.0115356511281327,0.137714952008662
"SLC38A7","SLC38A7",1,1
"NFATC3","NFATC3",1,1
"MYL12B","MYL12B",1,1
"LENG1","LENG1",1,1
"ZNF334","ZNF334",1,1
"URB1","URB1",1,1
"ADRBK2","ADRBK2",1,1
"RANGAP1","RANGAP1",0.00371545519627646,0.0886592768031163
"PAK2","PAK2",1,1
"ARL8B","ARL8B",1,1
"AFF1","AFF1",1,1
"EGFLAM","EGFLAM",1,1
"AHI1","AHI1",1,1
"CDC37L1","CDC37L1",1,1
"COL4A5","COL4A5",1,1
"VPS72","VPS72",1,1
"BAG3","BAG3",0.0123280556291103,0.143003060423623
"ZMYM2","ZMYM2",1,1
"PACS2","PACS2",1,1
"NCOA1","NCOA1",1,1
"TTC27","TTC27",1,1
"PHF19","PHF19",1,1
"GRIPAP1","GRIPAP1",0.013401301542693,0.147747130749657
"CAPN1","CAPN1",1,1
"APPL2","APPL2",1,1
"SH3BP1","SH3BP1",1,1
"GTF2IRD2","GTF2IRD2",1,1
"TACC1","TACC1",1,1
"CCDC120","CCDC120",0.00837163408217132,0.11998177846355
"PTBP1","PTBP1",0.00515556543302453,0.103149809314564
"KIAA2018","KIAA2018",1,1
"MAT2B","MAT2B",0.0084691963911973,0.119992295253155
"INTS8","INTS8",1,1
"GNL3L","GNL3L",1,1
"TNFRSF8","TNFRSF8",1,1
"INO80","INO80",1,1
"SLC44A2","SLC44A2",1,1
"ATIC","ATIC",0.0132319763194011,0.147344030620221
"WDFY3","WDFY3",1,1
"SLC25A2","SLC25A2",1,1
"POLR2F","POLR2F",0.0210194905556049,0.185911119166818
"SEC22A","SEC22A",1,1
"ITGA10","ITGA10",1,1
"NUF2","NUF2",1,1
"ZMIZ1","ZMIZ1",0.0281802344429772,0.21534004244891
"LGR4","LGR4",1,1
"TYR","TYR",1,1
"MAML2","MAML2",1,1
"ITGAL","ITGAL",1,1
"ATP2C2","ATP2C2",1,1
"URI1","URI1",1,1
"ATG16L1","ATG16L1",0.0468982810720573,0.289162642276694
"CSNK1E","CSNK1E",1,1
"STAG1","STAG1",0.0137294430675705,0.149179375657254
"CCDC112","CCDC112",1,1
"RPP40","RPP40",1,1
"CNKSR2","CNKSR2",0.0129446345535847,0.147060020997884
"RAB3GAP2","RAB3GAP2",1,1
"RAD54L","RAD54L",1,1
"ANKRD16","ANKRD16",1,1
"BARX2","BARX2",1,1
"MLEC","MLEC",1,1
"FASTKD5","FASTKD5",1,1
"DHX15","DHX15",1,1
"HACE1","HACE1",1,1
"OPRM1","OPRM1",1,1
"GMDS","GMDS",1,1
"NUP210L","NUP210L",1,1
"ETV3","ETV3",1,1
"LAMC1","LAMC1",1,1
"CNTN2","CNTN2",1,1
"ZNF692","ZNF692",1,1
"CNKSR1","CNKSR1",1,1
"MRPS35","MRPS35",1,1
"KRT6A","KRT6A",0.00730209314072068,0.112405268323467
"MTMR6","MTMR6",1,1
"GABRB3","GABRB3",1,1
"MFAP1","MFAP1",0.0192760575177055,0.178029496547019
"UACA","UACA",1,1
"CLUAP1","CLUAP1",1,1
"MED13","MED13",1,1
"TRAPPC1","TRAPPC1",1,1
"PTPN2","PTPN2",1,1
"CYP2A13","CYP2A13",1,1
"PLEKHA4","PLEKHA4",1,1
"LAIR1","LAIR1",1,1
"INSR","INSR",1,1
"TANK","TANK",0.039340991575438,0.259121328289656
"STK17B","STK17B",1,1
"SGOL2","SGOL2",1,1
"CXCR7","CXCR7",1,1
"PES1","PES1",0.0106896584896613,0.132555746522634
"DRG1","DRG1",1,1
"APOL2","APOL2",1,1
"MYH15","MYH15",1,1
"TF","TF",1,1
"CDC25A","CDC25A",0.00217590945602866,0.0762599003562888
"GLYCTK","GLYCTK",1,1
"SNX2","SNX2",0.0427809832711604,0.274979312357777
"ZNF608","ZNF608",1,1
"RAD50","RAD50",1,1
"ETF1","ETF1",1,1
"CTNNA1","CTNNA1",1,1
"LMAN2","LMAN2",1,1
"ASCC3","ASCC3",0.0438786534258845,0.280410703611291
"PLG","PLG",1,1
"DDX43","DDX43",1,1
"STK17A","STK17A",1,1
"EIF3E","EIF3E",1,1
"PKN3","PKN3",1,1
"TLR8","TLR8",1,1
"KAL1","KAL1",1,1
"PYHIN1","PYHIN1",1,1
"UBN1","UBN1",0.00287846356743437,0.0809302554650841
"SERPINB8","SERPINB8",1,1
"KLF11","KLF11",1,1
"XRN2","XRN2",1,1
"MECP2","MECP2",0.0332824433627355,0.237417299358717
"DDX3X","DDX3X",0.00649512171411181,0.111471689418223
"NOTCH2","NOTCH2",1,1
"HRNR","HRNR",0.0099275800620889,0.128614310570914
"KIF14","KIF14",1,1
"ECE1","ECE1",0.0449429618054117,0.282068975176472
"WDR37","WDR37",1,1
"SRPR","SRPR",0.0378382634874007,0.254427449637261
"ANAPC5","ANAPC5",1,1
"NOC4L","NOC4L",1,1
"RERG","RERG",1,1
"SLC8A3","SLC8A3",1,1
"IFT140","IFT140",1,1
"BCKDK","BCKDK",1,1
"SYNRG","SYNRG",0.0447503035026211,0.282068975176472
"RGPD3","RGPD3",1,1
"LIMD1","LIMD1",1,1
"TRPC3","TRPC3",1,1
"MTHFD1L","MTHFD1L",0.0150953501957431,0.154520010799496
"POM121L2","POM121L2",1,1
"DOPEY1","DOPEY1",1,1
"VPS41","VPS41",1,1
"NSUN5","NSUN5",1,1
"NSMCE2","NSMCE2",1,1
"BAI1","BAI1",1,1
"KLHL28","KLHL28",1,1
"KIAA0430","KIAA0430",1,1
"SPECC1","SPECC1",1,1
"ENGASE","ENGASE",1,1
"ZNF532","ZNF532",1,1
"MFSD9","MFSD9",1,1
"MICAL3","MICAL3",0.000652714650201981,0.0406208117354672
"CNTN6","CNTN6",1,1
"VPS13B","VPS13B",0.00380033537466239,0.0886592768031163
"ATP7A","ATP7A",1,1
"DDX21","DDX21",1,1
"KRT25","KRT25",1,1
"SLC20A1","SLC20A1",1,1
"PRRC2B","PRRC2B",1,1
"ZCCHC6","ZCCHC6",1,1
"KLHL20","KLHL20",1,1
"AARS","AARS",1,1
"RABEP1","RABEP1",1,1
"PTCD3","PTCD3",1,1
"FAM102A","FAM102A",1,1
"HIST2H2AC","HIST2H2AC",1,1
"MLYCD","MLYCD",1,1
"MYCBPAP","MYCBPAP",1,1
"MBD1","MBD1",1,1
"LMTK3","LMTK3",1,1
"HAS1","HAS1",1,1
"SEPT10","SEPT10",0.0259322198247043,0.206558195948213
"PREPL","PREPL",1,1
"PAPOLG","PAPOLG",1,1
"PITX2","PITX2",1,1
"GFPT2","GFPT2",1,1
"FBXO24","FBXO24",1,1
"DLD","DLD",1,1
"PMS2","PMS2",1,1
"CLDN12","CLDN12",1,1
"VPS13A","VPS13A",1,1
"CLIC2","CLIC2",1,1
"CYP2C8","CYP2C8",1,1
"ADAMTSL3","ADAMTSL3",1,1
"SSH2","SSH2",1,1
"TBKBP1","TBKBP1",1,1
"ZNF583","ZNF583",1,1
"KDM3A","KDM3A",1,1
"CABIN1","CABIN1",1,1
"UBA7","UBA7",1,1
"MOB1B","MOB1B",1,1
"GHR","GHR",1,1
"FOXP2","FOXP2",1,1
"AP4M1","AP4M1",1,1
"ARAF","ARAF",0.0200507715790035,0.181164298432272
"SORCS1","SORCS1",1,1
"WIZ","WIZ",0.0448678995624895,0.282068975176472
"DYRK1B","DYRK1B",1,1
"TGM3","TGM3",1,1
"DNAJC28","DNAJC28",1,1
"GPSM2","GPSM2",1,1
"LRIG2","LRIG2",1,1
"DDI2","DDI2",1,1
"SUFU","SUFU",1,1
"NCAPD3","NCAPD3",0.0274820017120387,0.212793778372634
"SLCO2B1","SLCO2B1",1,1
"SPATA13","SPATA13",1,1
"MKRN3","MKRN3",1,1
"LACTB","LACTB",1,1
"ALKBH5","ALKBH5",0.0355798821136827,0.24551962175649
"TRIM28","TRIM28",1,1
"IL1R1","IL1R1",1,1
"MLPH","MLPH",1,1
"UCP1","UCP1",1,1
"DDX60L","DDX60L",1,1
"NOA1","NOA1",1,1
"SH3TC1","SH3TC1",1,1
"GABRA6","GABRA6",0.0206441166999517,0.184275030971821
"TTC37","TTC37",1,1
"C1GALT1C1","C1GALT1C1",1,1
"TTC24","TTC24",1,1
"ARHGAP30","ARHGAP30",1,1
"GBF1","GBF1",1,1
"P2RY2","P2RY2",1,1
"GYS2","GYS2",1,1
"NCAPD2","NCAPD2",1,1
"FAM219B","FAM219B",1,1
"TBC1D2B","TBC1D2B",1,1
"SMTN","SMTN",1,1
"L3MBTL2","L3MBTL2",0.0481421480041782,0.294113466237342
"GRAMD4","GRAMD4",1,1
"IQSEC1","IQSEC1",1,1
"PPP4R2","PPP4R2",1,1
"CKMT2","CKMT2",1,1
"MLL5","MLL5",0.00146052399929486,0.0610797054159963
"CNTNAP2","CNTNAP2",1,1
"USP42","USP42",0.00969434705296416,0.126577758873899
"HNRNPH2","HNRNPH2",1,1
"SLC1A2","SLC1A2",1,1
"AACS","AACS",1,1
"PPM1B","PPM1B",1,1
"SETD5","SETD5",1,1
"HIVEP1","HIVEP1",0.00401004966164791,0.0899538710068843
"LSM5","LSM5",1,1
"OXR1","OXR1",1,1
"DOCK5","DOCK5",0.00461286553898674,0.0981929906435717
"HDAC6","HDAC6",0.023929620965347,0.196968289256175
"INTS3","INTS3",1,1
"TAGLN2","TAGLN2",1,1
"TDRD5","TDRD5",1,1
"RASSF5","RASSF5",1,1
"NSUN4","NSUN4",1,1
"MRPL48","MRPL48",1,1
"MPHOSPH9","MPHOSPH9",1,1
"NAP1L1","NAP1L1",1,1
"FARP1","FARP1",0.00304098088424001,0.0828637825515804
"SNN","SNN",1,1
"KRT19","KRT19",1,1
"GRB2","GRB2",0.00877540619228524,0.121422795932808
"EPS8L1","EPS8L1",0.00236769755695266,0.0780010401590084
"MED16","MED16",1,1
"RHOB","RHOB",1,1
"NGLY1","NGLY1",1,1
"WDR48","WDR48",1,1
"PLK4","PLK4",1,1
"RANBP17","RANBP17",0.000531424530305952,0.0378895579375386
"TULP4","TULP4",1,1
"KLHDC3","KLHDC3",1,1
"SLC45A4","SLC45A4",1,1
"ARHGEF6","ARHGEF6",0.00936474988244291,0.12498008851904
"KCNH7","KCNH7",1,1
"SH3BP4","SH3BP4",1,1
"PSEN2","PSEN2",1,1
"MMS19","MMS19",1,1
"CLMN","CLMN",1,1
"ADH1A","ADH1A",1,1
"NDFIP1","NDFIP1",0.0242900785897714,0.198707166252196
"POTEA","POTEA",1,1
"FAM199X","FAM199X",1,1
"CHI3L2","CHI3L2",1,1
"GPATCH4","GPATCH4",1,1
"SOX5","SOX5",1,1
"NDFIP2","NDFIP2",1,1
"GABRG3","GABRG3",1,1
"KPNA2","KPNA2",1,1
"THOC1","THOC1",1,1
"CSE1L","CSE1L",1,1
"SCAF4","SCAF4",1,1
"PRR14L","PRR14L",1,1
"KLHDC10","KLHDC10",1,1
"ECM2","ECM2",5.31979788273496e-05,0.0117505850697814
"TSC22D3","TSC22D3",1,1
"EID3","EID3",1,1
"MORC4","MORC4",1,1
"SIK2","SIK2",0.014891871051402,0.153687346809439
"SRRM4","SRRM4",1,1
"ZNF319","ZNF319",1,1
"SERPINF1","SERPINF1",1,1
"SEMG1","SEMG1",1,1
"EPB41L4B","EPB41L4B",1,1
"ZNF280C","ZNF280C",1,1
"KIAA1614","KIAA1614",1,1
"GLT25D2","GLT25D2",1,1
"KCNK2","KCNK2",1,1
"USP35","USP35",1,1
"PAN2","PAN2",1,1
"NOL11","NOL11",1,1
"GALR2","GALR2",1,1
"ZNF585B","ZNF585B",1,1
"BCL3","BCL3",1,1
"REV1","REV1",1,1
"PCK1","PCK1",1,1
"FERMT1","FERMT1",1,1
"KRTAP10-9","KRTAP10-9",1,1
"MLC1","MLC1",1,1
"GRAMD1C","GRAMD1C",1,1
"VPS8","VPS8",1,1
"DCTN4","DCTN4",1,1
"DSP","DSP",1,1
"ZNF804B","ZNF804B",1,1
"CHRNA6","CHRNA6",1,1
"MAGEA10","MAGEA10",1,1
"BCOR","BCOR",0.0294235956196505,0.22264968549006
"PEX19","PEX19",1,1
"OSBPL8","OSBPL8",1,1
"MIB1","MIB1",1,1
"ZNF587","ZNF587",1,1
"SNAP25","SNAP25",1,1
"TREML1","TREML1",1,1
"PMVK","PMVK",1,1
"EPHX1","EPHX1",1,1
"ASUN","ASUN",1,1
"HAL","HAL",1,1
"BCMO1","BCMO1",1,1
"UBE2Z","UBE2Z",0.014540030701349,0.152461454059574
"NAGK","NAGK",1,1
"CLCN3","CLCN3",1,1
"SRP72","SRP72",1,1
"PIK3R1","PIK3R1",1,1
"SYNPO2L","SYNPO2L",0.00818010389350302,0.119193242509489
"GSPT2","GSPT2",1,1
"ACTG2","ACTG2",0.00754224555862811,0.113628542006331
"SRXN1","SRXN1",1,1
"ERBB2IP","ERBB2IP",0.0119581467241547,0.141437476085517
"SYT11","SYT11",1,1
"IFI16","IFI16",1,1
"CCDC27","CCDC27",0.000639320818694335,0.0405451174446245
"HPDL","HPDL",1,1
"ENTPD1","ENTPD1",1,1
"PDE1B","PDE1B",1,1
"RBM23","RBM23",1,1
"HMHA1","HMHA1",1,1
"ZNF254","ZNF254",1,1
"RIF1","RIF1",0.0271517120314934,0.210972287535257
"NMD3","NMD3",1,1
"EMB","EMB",1,1
"CAGE1","CAGE1",1,1
"JHDM1D","JHDM1D",1,1
"KLF8","KLF8",1,1
"ACTA2","ACTA2",1,1
"SRSF5","SRSF5",1,1
"PLD3","PLD3",1,1
"FSD1","FSD1",1,1
"GTF3C3","GTF3C3",1,1
"TTLL4","TTLL4",1,1
"CHL1","CHL1",1,1
"GBE1","GBE1",1,1
"RNPC3","RNPC3",0.0145817877331802,0.152461454059574
"SLC30A1","SLC30A1",1,1
"CSF3R","CSF3R",1,1
"LEPR","LEPR",1,1
"HSPA12A","HSPA12A",1,1
"STAC2","STAC2",1,1
"MAP2K2","MAP2K2",1,1
"CRYGC","CRYGC",1,1
"ESF1","ESF1",0.00597757845816209,0.107688550778079
"MYBL2","MYBL2",1,1
"CPNE4","CPNE4",1,1
"ZBBX","ZBBX",1,1
"DLEC1","DLEC1",1,1
"HMGXB3","HMGXB3",1,1
"MAN1A1","MAN1A1",1,1
"FKBPL","FKBPL",1,1
"EPHB4","EPHB4",1,1
"CFTR","CFTR",1,1
"MKRN1","MKRN1",1,1
"DDX56","DDX56",1,1
"CNTRL","CNTRL",1,1
"SMARCA2","SMARCA2",1,1
"KIF24","KIF24",0.000720251112071751,0.0420715101340859
"FANCG","FANCG",1,1
"PCYT1B","PCYT1B",1,1
"CCT3","CCT3",0.00572967723401724,0.107382398236499
"ACTN2","ACTN2",0.00115769978052211,0.0542895974542021
"MRPL45","MRPL45",1,1
"FASN","FASN",0.00772407020458871,0.115583333690688
"CDCA4","CDCA4",1,1
"PPIL2","PPIL2",1,1
"PPM1F","PPM1F",1,1
"HFM1","HFM1",1,1
"HNRNPH3","HNRNPH3",1,1
"ANKK1","ANKK1",1,1
"RNF169","RNF169",0.047408091444857,0.291034994996542
"SMEK1","SMEK1",1,1
"USP6","USP6",1,1
"EIF4A3","EIF4A3",1,1
"BABAM1","BABAM1",0.0344827582128727,0.241900191855912
"TP53I3","TP53I3",1,1
"BCL11A","BCL11A",1,1
"ENAM","ENAM",1,1
"IL6ST","IL6ST",1,1
"TRAM2","TRAM2",1,1
"MAP1S","MAP1S",1,1
"ZNF93","ZNF93",1,1
"SRRM5","SRRM5",1,1
"KDM6A","KDM6A",1,1
"AMY2A","AMY2A",1,1
"PKD1","PKD1",1,1
"ANGPT2","ANGPT2",1,1
"PLCG1","PLCG1",0.0389831261498302,0.258052728990288
"BEND3","BEND3",1,1
"EXOC4","EXOC4",1,1
"SLCO5A1","SLCO5A1",1,1
"TGFBR1","TGFBR1",1,1
"DCAF12","DCAF12",1,1
"ZNF41","ZNF41",1,1
"IDI1","IDI1",1,1
"TBCEL","TBCEL",1,1
"CHD4","CHD4",0.00016613761428054,0.0221262074698824
"ITPK1","ITPK1",1,1
"PSMD3","PSMD3",1,1
"MYO1G","MYO1G",1,1
"POSTN","POSTN",1,1
"UNC13C","UNC13C",1,1
"MYH1","MYH1",0.0338360239307984,0.239428748048612
"KRT14","KRT14",1,1
"WRAP53","WRAP53",1,1
"MKRN2","MKRN2",1,1
"CENPF","CENPF",3.37588652799423e-08,5.62000709747839e-05
"ACOT11","ACOT11",1,1
"CYP1A2","CYP1A2",1,1
"ABCA5","ABCA5",1,1
"DSG1","DSG1",0.00488461069890535,0.101016910440849
"RIMS4","RIMS4",1,1
"WDR60","WDR60",1,1
"GLI3","GLI3",0.00898578349873422,0.122443903684916
"MTAP","MTAP",1,1
"BMP15","BMP15",1,1
"CAPRIN1","CAPRIN1",6.98530925646875e-05,0.013290049811093
"MINK1","MINK1",9.68312140744577e-06,0.00515670475968559
"RSRC1","RSRC1",1,1
"RBBP5","RBBP5",1,1
"VAV3","VAV3",1,1
"GNAI3","GNAI3",1,1
"PDE4B","PDE4B",1,1
"LRRC40","LRRC40",1,1
"CELF2","CELF2",1,1
"INTS6","INTS6",0.0325226760142568,0.235400543020583
"EIF2AK4","EIF2AK4",1,1
"MPG","MPG",1,1
"WDR90","WDR90",1,1
"KIAA1609","KIAA1609",1,1
"CYBRD1","CYBRD1",1,1
"RAB1A","RAB1A",0.0440069160005995,0.280423017844969
"TIPRL","TIPRL",1,1
"SYCE1","SYCE1",1,1
"ANAPC7","ANAPC7",1,1
"CLK1","CLK1",1,1
"TFDP2","TFDP2",1,1
"FGB","FGB",1,1
"MTRR","MTRR",0.0175572672771165,0.167258716449669
"RBBP7","RBBP7",1,1
"IL18","IL18",1,1
"NDUFA9","NDUFA9",1,1
"IL4R","IL4R",0.0322714470614701,0.234949757711146
"PPARA","PPARA",1,1
"ZNF721","ZNF721",1,1
"ENC1","ENC1",1,1
"MFHAS1","MFHAS1",1,1
"PLEKHF2","PLEKHF2",1,1
"TLE1","TLE1",1,1
"NAT10","NAT10",1,1
"EPS8","EPS8",1,1
"CLDN6","CLDN6",1,1
"ZNF778","ZNF778",1,1
"TEX14","TEX14",1,1
"CA4","CA4",1,1
"DGKD","DGKD",1,1
"SGK2","SGK2",1,1
"CDS2","CDS2",1,1
"PCDHGA5","PCDHGA5",1,1
"NPR2","NPR2",1,1
"MAGEC2","MAGEC2",1,1
"BZW1","BZW1",1,1
"UBA5","UBA5",1,1
"ERMP1","ERMP1",1,1
"KCNMA1","KCNMA1",1,1
"PSMD8","PSMD8",1,1
"SCN5A","SCN5A",1,1
"CYP3A4","CYP3A4",1,1
"ZCCHC11","ZCCHC11",1,1
"UBQLN3","UBQLN3",1,1
"CKAP2","CKAP2",1,1
"RAB11A","RAB11A",0.00786283901007476,0.116352544373529
"HMOX2","HMOX2",1,1
"RALY","RALY",0.0193895989549026,0.178582765478142
"OR5K2","OR5K2",1,1
"CUL1","CUL1",1,1
"MNT","MNT",1,1
"MC2R","MC2R",1,1
"KIF9","KIF9",1,1
"PCDHGA2","PCDHGA2",1,1
"SIX6","SIX6",1,1
"CCDC135","CCDC135",1,1
"LRP1B","LRP1B",0.00327514999868769,0.0858630859892178
"SNX17","SNX17",1,1
"GATA2","GATA2",0.00588077002704141,0.107382398236499
"S100A10","S100A10",1,1
"RIMS3","RIMS3",1,1
"APLP2","APLP2",1,1
"RDH5","RDH5",1,1
"CCNB1IP1","CCNB1IP1",1,1
"ZNF577","ZNF577",0.0443109309570786,0.28131694640919
"COL6A2","COL6A2",0.0297639351972167,0.224459846521252
"TBC1D19","TBC1D19",1,1
"MAN2A1","MAN2A1",1,1
"DTWD2","DTWD2",1,1
"TFAP2B","TFAP2B",1,1
"PRKAR2B","PRKAR2B",1,1
"HMGN5","HMGN5",1,1
"TJP1","TJP1",0.000342020400884581,0.0308694504931184
"ZKSCAN2","ZKSCAN2",1,1
"SBF1","SBF1",1,1
"CHML","CHML",1,1
"ACADSB","ACADSB",1,1
"PPIP5K1","PPIP5K1",1,1
"ITGA6","ITGA6",1,1
"FAM110A","FAM110A",1,1
"ZFP42","ZFP42",1,1
"FAM129B","FAM129B",0.000134243968617418,0.0194332736309433
"AKR1C3","AKR1C3",1,1
"SMC6","SMC6",1,1
"HPS3","HPS3",1,1
"SERINC1","SERINC1",1,1
"CDKL5","CDKL5",1,1
"AMIGO1","AMIGO1",1,1
"LRTM1","LRTM1",1,1
"BNC2","BNC2",1,1
"IKBKE","IKBKE",1,1
"AKT3","AKT3",0.0214718629578207,0.186173353432459
"BSDC1","BSDC1",1,1
"CAP1","CAP1",9.72569358238199e-06,0.00515670475968559
"BICC1","BICC1",1,1
"IFIT5","IFIT5",1,1
"KCNC2","KCNC2",1,1
"CRIP2","CRIP2",1,1
"KIAA1683","KIAA1683",1,1
"PVRL3","PVRL3",1,1
"PRKCI","PRKCI",1,1
"CNKSR3","CNKSR3",1,1
"ETV1","ETV1",1,1
"DYNC1I1","DYNC1I1",0.00382706062099445,0.0887958072306691
"UBE2R2","UBE2R2",1,1
"IL1RAPL2","IL1RAPL2",1,1
"F8","F8",1,1
"GJA5","GJA5",1,1
"GATAD2B","GATAD2B",1,1
"ZBTB17","ZBTB17",1,1
"TGM1","TGM1",0.00243009206478226,0.0780010401590084
"ARID4A","ARID4A",1,1
"HEATR6","HEATR6",1,1
"ALPI","ALPI",1,1
"SYN1","SYN1",1,1
"ZNF648","ZNF648",0.0346659144953977,0.242224894674558
"API5","API5",1,1
"TTLL6","TTLL6",1,1
"ZNF521","ZNF521",1,1
"ACOXL","ACOXL",1,1
"HSPD1","HSPD1",1,1
"TRIOBP","TRIOBP",1,1
"GK2","GK2",1,1
"DPYSL2","DPYSL2",1,1
"DKC1","DKC1",1,1
"MICAL2","MICAL2",1,1
"CRABP1","CRABP1",1,1
"HEATR3","HEATR3",1,1
"TAF1C","TAF1C",1,1
