ACTR3 CDH1
ACVR1 FBXO30
ACVR1 FCHO1
ACVR1 FKBP4
ACVR1 RAB17
ACVR1 RAB25
ACVR1 RAB33B
ACVR1 RHOJ
ACVR1 SQSTM1
ACVR1B INHBC
ACVR1B SNX2
ACVR1B TGFBRAP1
ACVR2A BMP6
ACVR2A GDF5
ACVR2A GDF9
ACVR2B ACVR1B
ACVR2B INHBC
ACVR2B SNX1
ACVR2B SYNJ2BP
ACVR2B TGFBRAP1
ACVRL1 ACVR2A
ACVRL1 TGFB1
ACVRL1 TGFBR2
ACVRL1 XIAP
ADAM10 TGFA
ADAM15 HCK
ADAM17 FHL2
ADAM17 MAD2L1
ADAM17 PTPN3
ADAM17 TGFA
ADAM17 TNFSF11
ADAM9 MAD2L2
ADAM9 SH3D19
ADAM9 SH3GLB1
ADAM9 SNX9
ADAMTS10 ANXA7
ADAMTS10 PCYT2
ADAMTS4 FN1
ADAMTSL4 FHL3
ADAMTSL4 SORBS3
ADAP1 NCL
ADCY5 PRKACA
ADCY5 PRKCZ
ADCY6 CHRNA7
ADCYAP1 VIPR1
ADD1 TK1
ADD2 ADD1
ADD2 CALM1
ADD2 PRKCD
ADIPOQ CDH13
ADIPOR1 APPL1
ADIPOR2 ADIPOQ
ADM CFH
ADM EDN1
ADORA1 EPB41L2
ADORA1 GNAI2
ADORA1 GNAZ
ADORA2A ACTN1
ADORA2A ACTN4
ADORA2A CYTH2
ADORA2A DRD2
ADORA2B EZR
ADORA2B SLC9A3R2
ADRA1A ADRA1B
ADRA1A BMP1
ADRA1A FLNC
ADRA1A RGS2
ADRA1B AP2M1
ADRA1B EZR
ADRA1B FLNC
ADRA1D FLNC
ADRA1D SNTB1
ADRA2A GNAI1
ADRA2A GNAI2
ADRA2A PRKCD
ADRA2B GNAI2
ADRA2C EIF2B1
ADRB1 ADRA2A
ADRB1 DLG4
ADRB1 GPRASP2
ADRB1 MAGI3
ADRB1 SH3GL3
ADRB2 AKAP12
ADRB2 AKAP5
ADRB2 CSK
ADRB2 GNA11
ADRB2 GRK5
ADRB2 GRK6
ADRB2 PRKCD
ADRB2 SLC9A3R1
ADRB2 SRC
ADRB3 ADRB2
ADRBK1 AKAP12
ADRBK1 CAPN2
ADRBK1 CAV1
ADRBK1 GIT1
ADRBK1 PDE6G
ADRBK1 PEBP1
ADRBK1 RPLP2
ADRBK1 SRC
ADRBK2 CXCR4
ADRBK2 GIT1
AES GTF2E1
AES HMGB1
AFAP1 PRKCD
AFAP1 PRKCE
AFAP1 PRKCZ
AFAP1 SRC
AFF1 MLLT1
AFF4 CCNT1
AFG3L2 PHC2
AFP SGSM2
AFTPH AP1G2
AFTPH UBE3A
AGFG1 EPS15
AGFG1 PIP4K2A
AGFG1 XPO1
AGGF1 CCDC85B
AGR2 BRD7
AGR2 MED31
AGT AGTR1
AGT CMA1
AGT CTSG
AGT EWSR1
AGTR1 ADRBK1
AGTR1 ADRBK2
AGTR1 AGT
AGTR1 AGTRAP
AGTR1 DNAJC14
AGTR1 JAK2
AGTR1 NOS3
AGTR1 RAF1
AGTR1 THOP1
AHR ARNT
AHR ARNTL
AHR CCNT1
AHR EP300
AHR GTF2F2
AHR NCOA1
AHR NCOA2
AHR RB1
AHR TAF4
AHR TAF7
AHR TBP
AIF1 LCP1
AIFM1 WWC1
AIP TOMM20
AK5 RNF114
AKAP1 PPP1CA
AKAP1 PRKAR2A
AKAP10 PRKAR1A
AKAP10 PRKAR2A
AKAP10 VASP
AKAP11 GSK3B
AKAP12 FHL1
AKAP13 PRKAR2A
AKAP2 PRKAR2B
AKAP5 CALM1
AKAP5 IQGAP1
AKAP5 PPP3CA
AKAP5 PRKAR2A
AKAP5 PRKAR2B
AKAP8 CCND3
