"Name","K","Kin","Kout","TypeI","TypeII"
"RPP14",96,95,1,0,1
"GRIK2",26,21,5,0,1
"PRKD2",28,24,4,0,1
"PLA2G4A",34,26,8,0,1
"EIF2AK2",57,43,14,0,1
"ROCK1",63,59,4,0,1
"TOP1",38,36,2,0,1
"RIPK1",15,11,4,0,1
"PPFIA1",28,23,5,0,1
"IRS1",65,52,13,0,1
"PLD1",32,29,3,0,1
"RAC1",54,45,9,0,1
"DYSF",8,7,1,0,1
"ITCH",38,35,3,0,1
"KHDRBS1",27,21,6,0,1
"SPRY2",26,25,1,0,1
"CTBP2",30,27,3,0,1
"TRIM28",47,44,3,0,1
"MAGEA11",8,5,3,0,1
"MCM10",30,22,8,0,1
"CCR5",35,28,7,0,1
"NUDT3",87,79,8,0,1
"MMP1",16,12,4,0,1
"MMP3",11,9,2,0,1
"CCL19",7,4,3,0,1
"CXCL13",7,6,1,0,1
"CCL21",4,2,2,0,1
"CTSD",19,13,6,0,1
"DPP4",17,11,6,0,1
"CCL25",2,1,1,0,1
"CCR3",13,5,8,0,1
"PIGR",27,26,1,0,1
"CDC25A",59,57,2,0,1
"CDKN1B",96,92,4,0,1
"PTMA",57,47,10,0,1
"CCNE1",30,28,2,0,1
"SUMO2",40,35,5,0,1
"DVL3",60,57,3,0,1
"JAK1",63,38,25,0,1
"CD4",44,33,11,0,1
"LCK",58,31,27,0,1
"PTK2B",36,22,14,0,1
"TXK",27,24,3,0,1
"SOD1",8,7,1,0,1
"ITGB2",26,9,17,0,1
"TLR2",12,7,5,0,1
"ITGB1",91,64,27,0,1
"CD22",11,10,1,0,1
"CD79A",10,5,5,0,1
"FYN",115,77,38,0,1
"PTPRC",38,24,14,0,1
"CD5",14,11,3,0,1
"PSTPIP1",13,12,1,0,1
"LCP2",25,17,8,0,1
"LAT",19,8,11,0,1
"CD247",23,9,14,0,1
"TRAF2",83,21,62,0,1
"TRAF3",62,56,6,0,1
"GRAP2",44,38,6,0,1
"PIK3CG",23,21,2,0,1
"PIK3R1",136,91,45,0,1
"PKD2",26,24,2,0,1
"CD38",14,12,2,0,1
"CD3E",19,16,3,0,1
"IL16",13,9,4,0,1
"ITGAV",43,33,10,0,1
"PTK2",54,30,24,0,1
"UBQLN1",48,39,9,0,1
"EEF1D",47,41,6,0,1
"COL4A4",25,22,3,0,1
"MELK",40,39,1,0,1
"SAFB",26,20,6,0,1
"ITSN1",58,50,8,0,1
"PRKCI",26,21,5,0,1
"TNK2",30,28,2,0,1
"CTNND1",58,55,3,0,1
"ERBB2IP",42,40,2,0,1
"PTPRF",64,60,4,0,1
"CDH5",30,25,5,0,1
"VIM",64,52,12,0,1
"NOL12",12,11,1,0,1
"CDK5RAP1",8,6,2,0,1
"CDK9",27,22,5,0,1
"DBP",5,4,1,0,1
"SOX8",9,6,3,0,1
"MYB",265,26,239,0,1
"SMARCC1",48,34,14,0,1
"SPTBN4",22,18,4,0,1
"TRIP12",40,38,2,0,1
"NR5A2",20,14,6,0,1
"NEK2",12,8,4,0,1
"PSEN2",13,7,6,0,1
"SNAP23",37,29,8,0,1
"CHEK2",47,38,9,0,1
"CHGB",6,4,2,0,1
"MARK3",23,21,2,0,1
"CHM",14,13,1,0,1
"CHMP1B",52,50,2,0,1
"CHMP2A",10,8,2,0,1
"DPY30",11,10,1,0,1
"HSP90AB1",38,36,2,0,1
"CIB1",7,4,3,0,1
"CIITA",16,14,2,0,1
"PRMT1",23,14,9,0,1
"WWP1",29,26,3,0,1
"ICAM3",8,5,3,0,1
"TYROBP",6,4,2,0,1
"PIP5K1B",8,7,1,0,1
"HGS",31,17,14,0,1
"LRP2",16,9,7,0,1
"MEST",15,12,3,0,1
"RABAC1",50,36,14,0,1
"CNKSR1",6,4,2,0,1
"CNOT7",42,38,4,0,1
"IL6ST",108,105,3,0,1
"PTPRB",32,29,3,0,1
"KCNA2",10,8,2,0,1
"KDR",53,32,21,0,1
"IGFBP3",42,37,5,0,1
"TGFBI",27,24,3,0,1
"COL2A1",17,14,3,0,1
"COL4A3",20,17,3,0,1
"XRN2",15,11,4,0,1
"COPB1",26,20,6,0,1
"MAPK14",79,68,11,0,1
"TRIM37",55,51,4,0,1
"GPS1",21,15,6,0,1
"POLA2",39,35,4,0,1
"NUDT21",39,30,9,0,1
"IGSF21",6,5,1,0,1
"ETS1",321,65,256,0,1
"MAFG",42,37,5,0,1
"SNIP1",61,57,4,0,1
"CRKL",109,89,20,0,1
