"Name","K","Kin","Kout","TypeI","TypeII"
"LRSAM1",4,1,3,0,1
"STUB1",12,1,11,0,1
"GPRASP2",5,1,4,0,1
"PICK1",8,2,6,0,1
"GRK6",4,2,2,0,1
"H3F3A",3,2,1,0,1
"HAND2",7,2,5,0,1
"MMP2",27,12,15,0,1
"HEXDC",2,1,1,0,1
"SMAD7",8,3,5,0,1
"PLAU",11,7,4,0,1
"SHH",2,1,1,0,1
"HK3",2,1,1,0,1
"HLA-B",9,4,5,0,1
"HLA-C",10,3,7,0,1
"NR1H2",18,2,16,0,1
"MEIS1",6,5,1,0,1
"PBX1",7,4,3,0,1
"RAF1",27,13,14,0,1
"TAF1",21,3,18,0,1
"HSPBP1",3,2,1,0,1
"RPS6KA5",14,9,5,0,1
"NME3",4,2,2,0,1
"IL2RG",9,7,2,0,1
"PSEN1",12,4,8,0,1
"ELK4",7,6,1,0,1
"TCF3",12,2,10,0,1
"ID2",3,2,1,0,1
"ID3",5,3,2,0,1
"IFNAR1",12,5,7,0,1
"TYK2",8,3,5,0,1
"IFNGR1",7,1,6,0,1
"IL12B",3,2,1,0,1
"IL13RA1",4,3,1,0,1
"IL18",5,2,3,0,1
"TIRAP",7,3,4,0,1
"NGFR",10,5,5,0,1
"IL21",2,1,1,0,1
"PTPN6",40,9,31,0,1
"SDC1",4,1,3,0,1
"ILK",10,3,7,0,1
"LIMS1",13,9,4,0,1
"IRF8",6,3,3,0,1
"IRF3",8,3,5,0,1
"IRF4",10,5,5,0,1
"TLN1",11,6,5,0,1
"ITGB7",8,3,5,0,1
"MYOC",2,1,1,0,1
"LTB",5,4,1,0,1
"PRKG1",17,8,9,0,1
"MEGF10",4,3,1,0,1
"KCNA2",4,3,1,0,1
"KCTD13",3,1,2,0,1
"SPRED1",10,8,2,0,1
"KLF4",3,2,1,0,1
"LDB1",3,2,1,0,1
"LDLRAP1",2,1,1,0,1
"MITF",17,9,8,0,1
"TRIP6",8,4,4,0,1
"LRPAP1",6,4,2,0,1
"PTCD3",3,2,1,0,1
"MED12",4,2,2,0,1
"MAFG",4,2,2,0,1
"MAP3K2",14,12,2,0,1
"MAP2K7",11,6,5,0,1
"SLC9A1",2,1,1,0,1
"PML",10,5,5,0,1
"PPP2R1A",6,5,1,0,1
"MAPK8IP3",9,3,6,0,1
"MARK4",3,2,1,0,1
"TTF2",8,3,5,0,1
"ZNF512B",5,1,4,0,1
"TEAD1",16,14,2,0,1
"MEOX2",2,1,1,0,1
"PAX3",2,1,1,0,1
"MID2",2,1,1,0,1
"MYBL2",4,1,3,0,1
"MYC",10,3,7,0,1
"NSF",7,1,6,0,1
"RXRB",6,3,3,0,1
"NR1D2",5,4,1,0,1
"NMI",6,5,1,0,1
"NEDD8",7,2,5,0,1
"PSMD4",5,4,1,0,1
"NFKBIB",12,5,7,0,1
"NTRK1",8,3,5,0,1
"SFPQ",8,3,5,0,1
"NRXN1",7,1,6,0,1
"PPP2CA",12,4,8,0,1
"NUP98",8,2,6,0,1
"FOXA2",5,1,4,0,1
"RANBP2",15,5,10,0,1
"OSGEP",7,1,6,0,1
"POLA1",5,3,2,0,1
"PAX2",2,1,1,0,1
"PDCD6IP",15,4,11,0,1
"RAD50",5,2,3,0,1
"SNUPN",4,2,2,0,1
"SCMH1",4,3,1,0,1
"PLCB3",6,4,2,0,1
"TNNT1",12,5,7,0,1
"POLA2",3,1,2,0,1
"POLR2E",9,5,4,0,1
"POLR3F",4,2,2,0,1
"PPFIBP1",7,4,3,0,1
"WBP11",5,2,3,0,1
"PUF60",6,4,2,0,1
"PRLR",8,2,6,0,1
"PTGDS",3,2,1,0,1
"RABGGTB",3,2,1,0,1
"SDCBP",6,4,2,0,1
"VAMP2",5,3,2,0,1
"RAN",5,2,3,0,1
"RDH11",3,1,2,0,1
"RGL1",6,4,2,0,1
"SYT1",6,2,4,0,1
"RINT1",4,2,2,0,1
"UBE2L6",3,2,1,0,1
"RNF4",3,2,1,0,1
"ROBO2",4,2,2,0,1
"SRF",8,2,6,0,1
"TAF11",7,4,3,0,1
"TDG",7,3,4,0,1
"SMAD5",17,9,8,0,1
"SGK3",3,1,2,0,1
"SIAH2",3,2,1,0,1
"SIVA1",3,2,1,0,1
"SMARCD1",8,6,2,0,1
"VDR",8,1,7,0,1
"STMN1",3,2,1,0,1
"TARBP2",5,3,2,0,1
"TBPL1",2,1,1,0,1
"TERF1",5,1,4,0,1
"TLE2",4,3,1,0,1
"TLR1",5,1,4,0,1
"TRAP1",5,2,3,0,1
"TNFRSF10B",4,1,3,0,1
"ZBTB43",2,1,1,0,1
"ZNF417",3,1,2,0,1
"EBF1",9,3,6,0,1
"NKX2-1",3,1,2,0,1
"hsa-miR-146a-5p",40,12,28,0,1
