"Name","K","Kin","Kout","TypeI","TypeII"
"RCC1",20,17,3,0,1
"ITGB2",25,11,14,0,1
"ITGA3",12,9,3,0,1
"ITGA6",12,6,6,0,1
"ITGB1",52,27,25,0,1
"CD79A",10,5,5,0,1
"FYN",88,47,41,0,1
"PTPRC",33,17,16,0,1
"LAT",20,9,11,0,1
"CD247",20,5,15,0,1
"JAK3",19,9,10,0,1
"TRAF2",64,11,53,0,1
"TRAF3",17,11,6,0,1
"GRAP2",24,14,10,0,1
"CD3E",12,9,3,0,1
"CTSD",7,3,4,0,1
"IL16",14,9,5,0,1
"CD40",12,3,9,0,1
"PTK2",30,11,19,0,1
"UBQLN1",19,11,8,0,1
"CD8A",12,5,7,0,1
"COL4A1",26,20,6,0,1
"SAFB",11,6,5,0,1
"ITSN1",29,22,7,0,1
"KTN1",10,8,2,0,1
"PRKCI",17,12,5,0,1
"TNK2",10,9,1,0,1
"CTNND1",15,12,3,0,1
"CDH2",10,6,4,0,1
"CDH5",11,7,4,0,1
"CTNNA1",9,6,3,0,1
"CDK5RAP1",3,1,2,0,1
"CDKN1B",13,5,8,0,1
"CEBPA",9,2,7,0,1
"GATA2",79,17,62,0,1
"SMARCC1",11,7,4,0,1
"SPTBN2",8,6,2,0,1
"NEK2",7,5,2,0,1
"CEP76",7,4,3,0,1
"CGN",4,2,2,0,1
"CHEK2",17,8,9,0,1
"ICAM3",5,3,2,0,1
"TYROBP",8,6,2,0,1
"EPB41L3",14,11,3,0,1
"HGS",22,10,12,0,1
"RABAC1",25,16,9,0,1
"CNKSR1",3,2,1,0,1
"GNAI1",5,4,1,0,1
"MET",9,3,6,0,1
"IL6ST",34,28,6,0,1
"LIFR",5,3,2,0,1
"PTPRB",16,13,3,0,1
"CNTNAP2",3,2,1,0,1
"COL17A1",5,2,3,0,1
"FBLN2",13,9,4,0,1
"SNCA",18,8,10,0,1
"COL2A1",5,3,2,0,1
"PXN",21,10,11,0,1
"XRN2",8,6,2,0,1
"MAPK14",30,22,8,0,1
"COPS3",13,9,4,0,1
"CPE",23,19,4,0,1
"POLA2",12,7,5,0,1
"RPA1",14,3,11,0,1
"E2F1",57,15,42,0,1
"EBF1",62,21,41,0,1
"MAFG",7,4,3,0,1
"NFATC2",14,5,9,0,1
"PROX1",13,10,3,0,1
"SNIP1",27,22,5,0,1
"TCF12",31,9,22,0,1
"HAP1",11,8,3,0,1
"GAB1",22,15,7,0,1
"CRMP1",19,7,12,0,1
"CSF1",8,5,3,0,1
"INPP5D",16,7,9,0,1
"CSF2RB",18,7,11,0,1
"FES",14,9,5,0,1
"IL3",4,2,2,0,1
"KDR",29,12,17,0,1
"HNRNPK",19,11,8,0,1
"GTF2A1",13,9,4,0,1
"PPP1R8",10,4,6,0,1
"CTBP2",5,3,2,0,1
"CTCF",30,8,22,0,1
"CTGF",16,14,2,0,1
"NOV",4,3,1,0,1
"RUVBL1",7,6,1,0,1
"ZFYVE9",17,11,6,0,1
"CTR9",5,3,2,0,1
"LRP1",37,26,11,0,1
"CTSS",5,4,1,0,1
"CTTN",5,3,2,0,1
"NCF4",7,6,1,0,1
"CYCS",11,10,1,0,1
"PML",10,8,2,0,1
"UBE2I",20,14,6,0,1
"MCM7",25,17,8,0,1
"FLNA",23,16,7,0,1
"TRIM39",2,1,1,0,1
"DFNB31",2,1,1,0,1
"ILF3",20,19,1,0,1
"PSMA1",7,4,3,0,1
"MAPK12",13,6,7,0,1
"DLST",6,4,2,0,1
"DNMBP",7,5,2,0,1
"TRIM27",3,2,1,0,1
"PPP2CB",7,5,2,0,1
"DOK1",20,8,12,0,1
"EPB41L2",6,1,5,0,1
"NCK1",31,6,25,0,1
"NOTCH1",7,4,3,0,1
"DUSP23",11,6,5,0,1
"EED",15,13,2,0,1
"PRPF3",5,2,3,0,1
"PNN",9,4,5,0,1
"E2F6",54,9,45,0,1
"E2F2",21,13,8,0,1
"TFDP1",12,9,3,0,1
"E2F3",59,30,29,0,1
"EEF1A1",20,8,12,0,1
"GADD45G",18,9,9,0,1
"EEF1D",14,10,4,0,1
"EFNA3",5,4,1,0,1
"PRSS23",18,16,2,0,1
"EFNB2",12,7,5,0,1
"PTPN13",11,7,4,0,1
"SNRPD2",11,5,6,0,1
"EHMT2",10,9,1,0,1
"EIF3E",10,6,4,0,1
"EIF4E",10,8,2,0,1
"MVD",4,3,1,0,1
"SRF",20,6,14,0,1
"NMI",11,10,1,0,1
"SYNCRIP",36,35,1,0,1
"ERCC3",5,2,3,0,1
"ERCC5",5,2,3,0,1
"ERG",97,18,79,0,1
"FLI1",84,16,68,0,1
"IGSF21",8,4,4,0,1
"NR0B1",3,2,1,0,1
"PSMC5",12,10,2,0,1
"ETS2",10,8,2,0,1
"SF1",9,7,2,0,1
"UPF2",15,8,7,0,1
"EXOSC4",12,4,8,0,1
"PSMB1",5,2,3,0,1
"F2R",18,12,6,0,1
"ITGAV",22,13,9,0,1
"F2RL2",7,4,3,0,1
"FAM118B",3,2,1,0,1
"FAM46A",2,1,1,0,1
"RAP1A",19,7,12,0,1
"PRMT1",16,9,7,0,1
"FBLN1",11,7,4,0,1
"FCER1G",7,3,4,0,1
"FCGR1A",5,2,3,0,1
"ZAP70",25,2,23,0,1
"GNAO1",13,3,10,0,1
"RPS6KA3",12,5,7,0,1
"FIGF",4,2,2,0,1
