"cause","effect"
"ARHGEF12","ABCA1"
"ARHGEF12","CD44"
"ARHGEF12","GNA12"
"ARHGEF12","GNA13"
"ARHGEF12","IGF1R"
"ARHGEF15","C11orf49"
"ARHGEF18","RHOA"
"ARHGEF2","RRAS2"
"ARHGEF6","CDC42"
"ARHGEF6","PAK1"
"ARHGEF6","PAK3"
"ARHGEF6","YWHAG"
"ARHGEF7","ARHGEF6"
"ARHGEF7","CBLB"
"ARHGEF7","GIT2"
"ARHGEF7","PAK3"
"ARHGEF7","PPM1F"
"ARHGEF7","TUBB3"
"ARHGEF7","YWHAG"
"ARID2","SMARCE1"
"ARID3A","E2F1"
"ARID3A","E2F2"
"ARID3A","UBE2E3"
"ARID4A","HDAC2"
"ARID4A","SIN3A"
"ARIH1","UBE2L3"
"ARL15","GAPDH"
"ARL15","GRIPAP1"
"ARL15","RPL8"
"ARL15","TUBB2B"
"ARL15","UBR1"
"ARL15","UNC119"
"ARL2","UNC119"
"ARL3","TLE1"
"ARL4D","EML4"
"ARL5A","CBX1"
"ARL5A","CBX5"
"ARL8B","ATP5J2"
"ARMCX3","CLTC"
"ARNT","AHR"
"ARNT","ARNT2"
"ARNT","EP300"
"ARNT","EPAS1"
"ARNT","GTF2F2"
"ARNT","HEY2"
"ARNT","HIF1A"
"ARNT","NCOA1"
"ARNT","NCOA2"
"ARNT","SIM1"
"ARNT","TRIP11"
"ARNT","UBE2I"
"ARNT2","ARNT"
"ARNTL","AHR"
"ARNTL","CLOCK"
"ARNTL","EPAS1"
"ARNTL","HIF1A"
"ARNTL","NPAS2"
"ARPC1B","ACTB"
"ARPC1B","WAS"
"ARPC3","MAPK6"
"ARPC3","PRMT1"
"ARPC4","ARPC3"
"ARPC4","RNF130"
"ARRB1","MAPK1"
"ARRB1","MAPK3"
"ARRB1","MATN2"
"ARRB1","MYBPC1"
"ARRB2","AIP"
"ARRB2","AP1B1"
"ARRB2","AP2B1"
"ARRB2","CHUK"
"ARRB2","CLTC"
"ARRB2","CSNK2A1"
"ARRB2","HIPK3"
"ARRB2","MAPK1"
