ACVR1 FBXO30
ACVR1 FGD6
ACVR1 FKBP4
ACVR1 IKBKB
ACVR1 RAB33B
ACVR1 RAB3B
ACVR1 RASD2
ACVR1 RASL12
ACVR1 RHEBL1
ACVR1 RHOJ
ACVR1 RPS27A
ACVR1 SOCS6
ACVR1 STX8
ACVR1 UBA52
ACVR1B SNX1
ACVR1B TGFBRAP1
ACVR1C TDGF1
ACVR2A MAGI2
ACVR2B ACVR1B
ACVR2B INHBC
ACVR2B MSTN
ACVR2B TGFBRAP1
ACVRL1 TGFB1
ACVRL1 TGFB3
ACVRL1 TGFBR2
ACVRL1 XIAP
ADAM10 DLL1
ADAM10 SH3D19
ADAM15 TRIP13
ADAM17 MAD2L1
ADAM17 PTPN3
ADAM17 SH3D19
ADAM17 TNF
ADAM19 TNFSF11
ADAM9 MAD2L2
ADAM9 SH3D19
ADAM9 SH3GLB1
ADAM9 SNX9
ADAM9 TNF
ADAMTS1 A2M
ADAMTS10 ANXA7
ADAMTS4 FN1
ADAMTSL4 SORBS3
ADCY5 PRKCA
ADCY6 ATXN1
ADCY6 CHRNA7
ADD1 MAP1LC3B
ADD1 TK1
ADD2 CALM1
ADD2 PRKCD
ADIPOQ CDH13
ADIPOR1 APPL1
ADM MME
ADORA1 GNAZ
ADORA2A ACTN3
ADORA2A ADA
ADRA1A ABR
ADRA1A ADRA1B
ADRA1A FLNC
ADRA1A PPP1R9B
ADRA1A RGS2
ADRA1B FLNC
ADRA1B PRKCA
ADRA1D ADRA1A
ADRA1D FLNC
ADRA1D SNTA1
ADRA2A GNAI2
ADRA2A YWHAZ
ADRA2C YWHAZ
ADRB1 ADRA2A
ADRB1 ARRB1
ADRB1 DLGAP2
ADRB1 GIPC1
ADRB2 AKAP12
ADRB2 AKAP5
ADRB2 ARRB1
ADRB2 CSK
ADRB2 GNA11
ADRB2 GPRASP1
ADRB2 GRB2
ADRB2 GRK5
ADRB2 GRK6
ADRB2 IL1B
ADRB2 KCNJ6
ADRB2 SLC9A3R2
ADRB2 SRC
ADRB3 ADRB2
ADRBK1 ARRB1
ADRBK1 GIT1
ADRBK1 MAPK3
ADRBK1 PDCL
ADRBK1 PDE6G
ADRBK1 PIK3CG
ADRBK1 PRKCB
ADRBK1 PRKCD
ADRBK1 PRKCG
ADRBK1 RPLP2
ADRBK2 CXCR4
ADRBK2 GIT1
AES GTF2E1
AFAP1 PRKCE
AFAP1L2 ATXN1L
AFF1 MLLT1
AFF1 MLLT3
AFF4 CCNT1
AFF4 MLLT1
AFTPH UBE3A
AGAP2 HOMER2
AGFG1 EPS15
AGFG1 PIP4K2A
AGFG1 XPO1
AGGF1 CCDC85B
AGT EWSR1
AGT PRG2
AGTR1 ADRBK2
AGTR1 AGTRAP
AGTR1 ARRB1
AGTR1 HRAS
AGTR1 JAK2
AGTR1 NOS3
AGTR1 RAB5A
AHNAK CDKN2A
AHR ARNT
AHR ARNTL
AHR CCNT1
AHR EP300
AHR NCOA1
AHR NCOA2
AHR NR2F1
AHR RB1
AHR TAF7
AIF1 LCP1
AIFM1 SETDB1
AIP TOMM20
AKAP1 PRKAR2A
AKAP1 PRKAR2B
AKAP10 P4HB
AKAP10 PRKAR1A
AKAP10 PRKAR2A
AKAP10 PRKAR2B
AKAP10 VASP
AKAP11 GSK3B
AKAP11 PRKAR2B
AKAP12 FHL1
AKAP12 PRKAR2A
AKAP13 CTNNAL1
AKAP13 PRKAR2A
AKAP13 YWHAB
AKAP13 YWHAE
AKAP5 CALM1
AKAP5 IQGAP1
AKAP5 KCNJ2
AKAP5 PPP3CA
AKAP5 PRKAR2A
AKAP5 PRKAR2B
AKAP7 PRKAR2A
AKAP8 AES
AKAP8 MCM2
AKAP8 PRKAR2B
