"Name","K","Kin","Kout","TypeI","TypeII"
"CXCL13",7,5,2,0,1
"CCL2",17,12,5,0,1
"MMP1",10,8,2,0,1
"VCAN",48,38,10,0,1
"CCL21",6,4,2,0,1
"GOT2",6,4,2,0,1
"DPP4",15,8,7,0,1
"CCR3",10,4,6,0,1
"IL8",4,3,1,0,1
"PIGR",13,11,2,0,1
"MMP14",27,15,12,0,1
"HDAC3",21,14,7,0,1
"CDK7",10,7,3,0,1
"DVL3",18,13,5,0,1
"CDK9",23,15,8,0,1
"JAK1",61,33,28,0,1
"JAK2",55,25,30,0,1
"CD4",37,21,16,0,1
"PTK2B",33,16,17,0,1
"TXK",7,4,3,0,1
"CCR6",7,5,2,0,1
"PAFAH1B2",30,27,3,0,1
"VHL",21,15,6,0,1
"ITGB2",23,9,14,0,1
"TLR2",10,6,4,0,1
"ITGA3",5,3,2,0,1
"ITGB1",70,43,27,0,1
"CD79A",9,5,4,0,1
"CD79B",9,5,4,0,1
"CD2",13,9,4,0,1
"LCP2",27,18,9,0,1
"LAT",17,8,9,0,1
"CD247",18,5,13,0,1
"TRAF3",16,11,5,0,1
"CD28",13,1,12,0,1
"GRAP2",32,22,10,0,1
"PIK3CG",17,11,6,0,1
"ITGB3",26,11,15,0,1
"CD3E",14,10,4,0,1
"PTK2",48,25,23,0,1
"GNAI1",38,22,16,0,1
"ITGAV",30,20,10,0,1
"SIRPA",15,11,4,0,1
"UBQLN1",24,16,8,0,1
"SDCBP",33,25,8,0,1
"CTLA4",10,8,2,0,1
"CD81",16,11,5,0,1
"ITGA4",15,10,5,0,1
"HLA-DRA",7,4,3,0,1
"CD8A",10,4,6,0,1
"COL4A3",11,6,5,0,1
"COL4A4",10,4,6,0,1
"SAFB",20,15,5,0,1
"CTNND1",27,24,3,0,1
"CDH2",25,20,5,0,1
"CDH5",16,10,6,0,1
"NOL12",10,9,1,0,1
"CDK5RAP1",5,3,2,0,1
"MNAT1",6,4,2,0,1
"GATA2",16,5,11,0,1
"MSX2",5,3,2,0,1
"SOX8",11,7,4,0,1
"SMARCC1",19,15,4,0,1
"NFYB",38,19,19,0,1
"SPTBN4",11,7,4,0,1
"NR5A2",20,17,3,0,1
"NEK2",5,3,2,0,1
"PRKG1",41,28,13,0,1
"SLC9A3R2",18,11,7,0,1
"CHFR",6,3,3,0,1
"POLR2E",14,10,4,0,1
"CHM",6,5,1,0,1
"RAB1A",17,15,2,0,1
"CHMP1B",8,6,2,0,1
"CHMP2A",3,1,2,0,1
"CIB1",12,9,3,0,1
"WWP1",16,12,4,0,1
"TYROBP",7,5,2,0,1
"LSM1",9,2,7,0,1
"CLIC4",29,28,1,0,1
"HGS",37,20,17,0,1
"LRP2",12,8,4,0,1
"MEST",9,7,2,0,1
"CNKSR2",16,13,3,0,1
"CNOT7",12,9,3,0,1
"MET",44,24,20,0,1
"IL6ST",26,24,2,0,1
"PTPRB",16,13,3,0,1
"TAF9",18,11,7,0,1
"PPL",11,8,3,0,1
"KDR",44,23,21,0,1
"DCN",21,12,9,0,1
"IGFBP3",19,14,5,0,1
"COL3A1",29,24,5,0,1
"LAMA5",6,5,1,0,1
"XRN2",14,8,6,0,1
"COPB1",14,9,5,0,1
"TRIM37",15,10,5,0,1
"GPS1",14,8,6,0,1
"STX5",10,9,1,0,1
"POLA2",15,12,3,0,1
"NFIL3",10,9,1,0,1
"EBF1",76,25,51,0,1
"ETS1",108,47,61,0,1
"H3F3A",3,2,1,0,1
"MAFG",14,9,5,0,1
"NCOA6",28,21,7,0,1
"NFATC2",19,10,9,0,1
"PROX1",23,18,5,0,1
"SNIP1",25,22,3,0,1
"TCF3",94,10,84,0,1
"TP53",49,15,34,0,1
"TP73",16,7,9,0,1
"GNAQ",35,15,20,0,1
"TUBB2A",18,15,3,0,1
"IRS2",20,13,7,0,1
"CRKL",45,24,21,0,1
"PXN",39,14,25,0,1
"EEF1D",30,25,5,0,1
"MAPK8IP2",21,11,10,0,1
"UBE2A",7,5,2,0,1
"CSF1",8,6,2,0,1
"INPP5D",14,7,7,0,1
"CSF2",3,2,1,0,1
"CSF2RB",19,8,11,0,1
"FES",9,6,3,0,1
"HNRNPK",21,11,10,0,1
"RNF7",8,5,3,0,1
"ERCC8",6,4,2,0,1
"HDAC1",37,23,14,0,1
"POLR2B",11,10,1,0,1
"CTGF",29,27,2,0,1
