"cause","effect"
"ACTG1","GSN"
"ACTG1","LSP1"
"ACTG1","MAPK6"
"ACTG1","PDPK1"
"ACTG1","PIP4K2C"
"ACTG1","VASP"
"ACTG1","VCL"
"ACTG1","WASF1"
"ACTL6A","ARHGDIA"
"ACTL6A","POLR2A"
"ACTL6A","TRRAP"
"ACTN1","CDK5"
"ACTN1","CSRP1"
"ACTN1","FBP1"
"ACTN1","LPP"
"ACTN1","MED14"
"ACTN1","PDLIM1"
"ACTN1","SLC2A4"
"ACTN1","ZYX"
"ACTN2","ITGB3BP"
"ACTN2","KAT2B"
"ACTN2","SSX2IP"
"ACTN4","ACTN3"
"ACTN4","CAMK2G"
"ACTN4","SLC2A4"
"ACTN4","TRIM3"
"ACTR1A","DCTN1"
"ACTR1B","CHD3"
"ACTR1B","DCTN1"
"ACTR2","ACTR3"
"ACTR2","ARPC1B"
"ACTR2","ARPC4"
"ACTR2","ARPC5"
"ACTR2","IQGAP2"
"ACTR2","WASF2"
"ACTR3","CDC42"
"ACTR3","WASF3"
"ACVR1","AP2B1"
"ACVR1","CHN1"
"ACVR1","FBXO30"
"ACVR1","FGD6"
"ACVR1","FKBP4"
"ACVR1","NRAS"
"ACVR1","RAB17"
"ACVR1","RAB25"
"ACVR1","RAB33B"
"ACVR1","RAP2A"
"ACVR1","RASL12"
"ACVR1","RHOJ"
"ACVR1","RRAS2"
"ACVR1","SOCS6"
"ACVR1","SQSTM1"
"ACVR1","STX8"
"ACVR1","UBA52"
"ACVR1","UBE2E3"
"ACVR1","WDR61"
"ACVR1B","SNX1"
"ACVR1B","TGFBRAP1"
"ACVR1C","TDGF1"
"ACVR2A","BMP6"
"ACVR2A","BMP7"
"ACVR2B","ACVR1B"
"ACVR2B","INHBA"
"ACVR2B","INHBB"
"ACVR2B","INHBC"
"ACVR2B","SNX1"
"ACVR2B","SNX2"
"ACVR2B","SNX6"
"ACVR2B","SYNJ2BP"
"ACVR2B","TGFBRAP1"
"ACVRL1","ACVR2A"
"ACVRL1","TGFB1"
"ACVRL1","TGFB3"
"ACVRL1","TGFBR2"
"ADA","GRB2"
"ADAM10","SH3D19"
"ADAM10","TGFA"
"ADAM15","TRIP13"
"ADAM17","MAD2L1"
"ADAM17","NOTCH1"
"ADAM17","PTPN3"
"ADAM17","SH3D19"
"ADAM17","TGFA"
"ADAM17","TNF"
"ADAM17","TNFSF11"
"ADAM19","NRG1"
"ADAM19","TNFSF11"
"ADAM23","RYR1"
"ADAM9","MAD2L2"
"ADAM9","SH3D19"
"ADAM9","SH3GLB1"
"ADAM9","SNX9"
"ADAMTS1","A2M"
"ADAMTS10","ANXA7"
"ADAMTS4","FN1"
"ADAMTSL4","FHL3"
"ADCY5","PRKCA"
"ADCY6","RAF1"
"ADCYAP1","MME"
"ADCYAP1R1","ADCYAP1"
"ADCYAP1R1","CALM1"
"ADD2","ADD1"
"ADM","CFH"
"ADM","EDN1"
"ADM","MME"
"ADORA1","ADA"
"ADORA1","GNAZ"
"ADORA2A","ACTN1"
"ADORA2A","ADA"
"ADRA1A","ABR"
"ADRA1A","FLNC"
"ADRA1D","ADRA1A"
"ADRA1D","FLNC"
"ADRA2A","ADRBK1"
"ADRA2A","PRKCD"
"ADRA2B","GNAI2"
"ADRA2B","YWHAZ"
"ADRB1","DLGAP2"
"ADRB1","GRB2"
"ADRB1","SH3GL2"
"ADRB2","AKAP12"
"ADRB2","GPRASP1"
"ADRB2","GRK5"
"ADRB2","GRK6"
"ADRB2","SLC9A3R1"
"ADRB3","ADRB2"
"ADRBK1","AKAP12"
"ADRBK1","ARRB1"
"ADRBK1","CAPN2"
"ADRBK1","CSNK2B"
"ADRBK1","GIT1"
"ADRBK1","GIT2"
"ADRBK1","PDCL"
"ADRBK1","PDE6G"
"ADRBK1","RPLP2"
"ADRBK1","SRC"
"ADRBK2","CXCR4"
"AES","GTF2E1"
"AES","HMGB1"
"AFAP1","PRKCB"
"AFAP1","PRKCD"
"AFAP1","PRKCE"
"AFAP1L2","ATXN1L"
"AFF1","MLLT3"
"AFF4","CCNT1"
"AFF4","MLLT1"
"AFP","SGSM2"
"AFTPH","AP1G2"
"AFTPH","UBE3A"
"AGFG1","EPS15"
"AGFG1","PIP4K2A"
"AGFG1","PKIA"
"AGFG1","XPO1"
"AGGF1","CCDC85B"
"AGT","CTSG"
"AGXT","SNCAIP"
"AHNAK","CDKN2A"
"AHR","ARNT"
"AHR","ARNTL"
"AHR","CCNT1"
"AHR","EP300"
"AHR","NCOA1"
"AHR","NCOA2"
"AHR","NR2F1"
"AHR","RB1"
"AHR","SMARCA4"
"AHR","TAF4"
"AHR","TBP"
"AIF1","LCP1"
"AIP","TOMM20"
"AKAP1","PRKAR2A"
"AKAP1","PRKAR2B"
"AKAP10","PRKAR1A"
"AKAP10","PRKAR2A"
"AKAP10","VASP"
"AKAP11","GSK3B"
"AKAP11","PRKAR2B"
"AKAP12","FHL1"
"AKAP12","PRKAR2A"
"AKAP13","CTNNAL1"
"AKAP13","PRKAR2A"
"AKAP13","YWHAB"
"AKAP13","YWHAE"
"AKAP13","YWHAG"
"AKAP5","PRKAR2B"
"AKAP7","PRKAR2A"
"AKAP8","AES"
"AKAP8","TRIOBP"
"AKAP8L","DHX9"
"AKAP8L","KPNB1"
"AKAP8L","LBR"
"AKAP8L","PRPF40A"
"AKAP9","PKN1"
"AKAP9","PPP2R3A"
"AKAP9","TACC3"
"AKAP9","TRIP10"
"AKT1","AHNAK"
"AKT1","AKT1S1"
"AKT1","AKTIP"
"AKT1","ATXN1"
"AKT1","BAD"
"AKT1","BCL2L11"
"AKT1","BRAF"
"AKT1","CAMKK1"
"AKT1","CASP9"
"AKT1","CDC42"
"AKT1","CHUK"
"AKT1","DCTN1"
"AKT1","EIF4EBP1"
"AKT1","EP300"
"AKT1","GSK3A"
"AKT1","GSK3B"
"AKT1","ITSN1"
"AKT1","MAP3K11"
"AKT1","MAPKAPK2"
"AKT1","MDM2"
"AKT1","PFKFB2"
"AKT1","PKN2"
"AKT1","PPP2CA"
"AKT1","PRKDC"
"AKT1","PTEN"
"AKT1","RAB3D"
"AKT1","RPS6KB1"
"AKT1","TERT"
"AKT1","TSC2"
"AKT1","WNK1"
"AKT1","YAP1"
"AKT1S1","TCEA2"
"AKT1S1","YWHAG"
"AKT2","AKT1"
"AKT2","AKT1S1"
"AKT2","CHUK"
"AKT2","GSK3B"
"AKT2","TRIB3"
"AKT2","TSC2"
"AKT3","PDPK1"
"ALDOA","DYNLL1"
"ALDOA","XRN1"
"ALK","IRS1"
"ALK","JAK3"
"ALK","PLCG1"
"ALK","PTN"
"ALOX5","ACTB"
"ALS2CR11","CCDC85B"
"ALS2CR11","MCM6"
"ALS2CR11","SSSCA1"
"ALX1","ALX4"
"AMBP","FN1"
"AMFR","TOM1L1"
"AMFR","VCP"
"AMH","EGFR"
"AMOTL2","KRT15"
"AMOTL2","MAGOHB"
"AMPH","CDK5"
"AMPH","DNM1"
"AMPH","SH3GLB1"
"AMPH","SYN1"
"AMY1A","AKAP8"
"ANAPC10","CDC27"
"ANAPC7","AKAP1"
"ANG","PTEN"
"ANGPT1","ANGPT2"
"ANGPT2","ANXA7"
"ANGPT2","CSNK2B"
"ANGPTL1","TEK"
"ANK1","NFASC"
"ANK1","SLC4A1"
"ANK1","SPTAN1"
"ANK2","L1CAM"
"ANK2","SPTBN1"
"ANK3","HOOK1"
"ANK3","SCN2A"
"ANKRA2","HDAC4"
"ANKRD11","HDAC4"
"ANKRD11","HDAC5"
"ANKS1A","YWHAG"
"ANP32A","SET"
"ANTXR1","BCL2L1"
"ANXA1","CCT7"
"ANXA1","COPS6"
"ANXA1","OTUB1"
"ANXA1","PRKCI"
"ANXA1","TGM2"
"ANXA1","UBE2D1"
"ANXA1","UNC119"
"ANXA1","XRCC6"
"ANXA11","S100A6"
"ANXA2","CD99"
"ANXA2","PLAT"
"ANXA2","S100A10"
"ANXA2","S100A4"
"ANXA2","S100A6"
"ANXA2","VCL"
"ANXA5","EED"
"ANXA6","CDC73"
"ANXA7","C14orf1"
"ANXA7","CCDC90B"
"ANXA7","COPS6"
"ANXA7","CPSF3L"
"ANXA7","DDAH2"
"ANXA7","MED31"
"ANXA7","MSH2"
"ANXA7","OTUB1"
"ANXA7","PDHB"
"ANXA7","PLD3"
"ANXA7","RBBP4"
"ANXA7","RPL13"
"ANXA7","UBE2D1"
"ANXA7","USP4"
"AP1B1","ATM"
"AP1G1","AFTPH"
"AP1G2","ATXN1L"
"AP1G2","XRN1"
"AP1M1","AP2B1"
"AP1M1","DVL2"
"AP1M1","EHD2"
"AP1M1","GAK"
"AP1M1","LDOC1"
"AP1M1","VAMP4"
"AP1M2","AP1B1"
"AP1M2","AP1M1"
"AP1M2","AP1S1"
"AP1M2","GAK"
"AP1M2","TGOLN2"
"AP1S1","AP1G2"
"AP1S1","AP2A2"
"AP1S2","AP1G2"
"AP2A1","EPN1"
"AP2A1","EPS15"
"AP2A1","PICALM"
"AP2A1","RIT1"
"AP2A2","HTT"
"AP2B1","AP2M1"
"AP2B1","ATM"
"AP2B1","FAM46C"
"AP2B1","HIP1"
"AP2B1","POM121"
"AP2B1","SMURF1"
"AP2B1","TUBGCP4"
"AP2M1","ATXN1L"
"AP2M1","GAK"
"AP2M1","MEGF10"
"AP2M1","TBC1D5"
"AP3B1","CLTC"
"AP3B1","CSNK1A1"
"AP3B1","XPOT"
"AP4M1","ARF1"
"AP4M1","TGOLN2"
"APAF1","AVEN"
"APAF1","BCL2L1"
"APAF1","CASP3"
"APAF1","HSPA1A"
"APAF1","NLRP1"
"APBA1","APP"
"APBA1","CCS"
"APBA1","KCNJ12"
"APBA1","LIN7B"
"APBA1","NOTCH1"
"APBA1","STXBP1"
"APBA2","CLSTN1"
"APBA3","BCR"
"APBB1","CLSTN1"
"APBB3","APLP2"
"APC","CSNK1E"
"APC","CTBP1"
"APC","SIAH1"
"APCS","CRP"
"APEX1","ANP32A"
"APEX1","EP300"
"APEX1","HMGB2"
"APEX1","UBE2I"
"APEX2","CCDC85B"
"APEX2","PCNA"
"APIP","LNX1"
"APLP1","SETDB1"
"APLP1","VIM"
"APLP2","APBB2"
"APOA1","ABCA1"
"APOA1","APOA1BP"
"APOA1","MAP7D1"
"APOA1","MAPK6"
"APOA1","TOMM20"
"APOA1","TTR"
"APOA1BP","MAPK6"
"APOB","HSPA1A"
"APOB","SEC61B"
"APOBEC1","KPNA2"
"APOE","APP"
"APOE","CNTF"
"APOE","CTSB"
"APOE","LRP1"
"APOE","MAP2"
"APOE","PLTP"
"APOH","PLG"
"APP","ABL1"
"APP","APBA2"
"APP","APBA3"
"APP","APBB2"
"APP","APBB3"
"APP","APPBP2"
"APP","BACE1"
"APP","CAV1"
"APP","CDK5"
"APP","FBLN1"
"APP","FLOT1"
"APP","GSK3B"
"APP","HMOX2"
"APP","HSD17B10"
"APP","HSPG2"
"APP","HTRA2"
"APP","IDE"
"APP","MAPK8IP1"
"APP","NF1"
"APP","NID1"
"APP","NUMB"
"APP","PSEN1"
"APP","SNCA"
"APP","TP53BP2"
"APPBP2","CHMP5"
"APPBP2","MFSD3"
"APPL1","AKT1"
"APPL1","APPL2"
"APPL1","DCC"
"APPL1","PIK3CA"
"APPL1","RAB5A"
"AQP1","EFEMP2"
"AQP1","MDFI"
"AR","AES"
"AR","ATF2"
"AR","CCNH"
"AR","CDC37"
"AR","CREBBP"
"AR","EP300"
"AR","ETV5"
"AR","FOXA1"
"AR","FOXO1"
"AR","GTF2F1"
"AR","GTF2F2"
"AR","GTF2H1"
"AR","KAT2B"
"AR","MED1"
"AR","MED14"
"AR","NCOA1"
"AR","NCOA2"
"AR","NCOA3"
"AR","NCOA4"
"AR","NCOR1"
"AR","NFKB1"
"AR","NR2C1"
"AR","NRIP1"
"AR","NSD1"
"AR","PIAS1"
"AR","PIAS2"
"AR","PIAS3"
"AR","PNRC2"
"AR","PQBP1"
"AR","PRPF6"
"AR","RB1"
"AR","RBAK"
"AR","RNF4"
"AR","RUNX1"
"AR","RUNX2"
"AR","SART3"
"AR","SMAD1"
"AR","SMAD3"
"AR","SP1"
"AR","SPDEF"
"AR","SRY"
"AR","SUMO1"
"AR","TCF4"
"AR","TMF1"
"AR","TRIM24"
"AR","UBE2I"
"AR","UBE3A"
"ARAF","EFEMP1"
"ARAF","YWHAG"
"ARAP1","ARIH2"
"ARAP1","ARPC3"
"AREG","UBQLN4"
"ARF1","AP1B1"
"ARF1","AP1G1"
"ARF1","ARFGAP1"
"ARF1","ARFIP1"
"ARF1","ARFIP2"
"ARF1","ARHGAP21"
"ARF1","ASAP2"
"ARF1","COPE"
"ARF1","CYTH2"
"ARF1","MDM4"
"ARF1","PICK1"
"ARF1","PLD1"
"ARF1","RALA"
"ARF6","AP1B1"
"ARF6","ASAP2"
"ARF6","EXOC5"
"ARFGAP1","CSNK1D"
"ARFGAP1","TK1"
"ARFGEF2","ARFGEF1"
"ARFGEF2","PRPF40A"
"ARFIP2","CHUK"
"ARHGAP1","BNIP2"
"ARHGAP1","HSP90AB1"
"ARHGAP1","KIF1B"
"ARHGAP1","PIK3R1"
"ARHGAP1","PTPN11"
"ARHGAP1","TUBA4A"
"ARHGAP15","TGFBR1"
"ARHGAP26","PKN1"
"ARHGAP5","PRKAR2A"
"ARHGAP5","PTPN18"
"ARHGAP5","RASA1"
"ARHGAP5","SMURF2"
"ARHGAP8","BNIP2"
"ARHGAP9","RBPMS"
"ARHGDIA","CBX5"
"ARHGDIA","TRIM13"
"ARHGDIB","CASP3"
"ARHGDIB","RAC2"
"ARHGDIB","RAC3"
"ARHGEF1","CSNK1E"
"ARHGEF1","MYO18A"
"ARHGEF1","TRIM8"
"ARHGEF11","ABCA1"
"ARHGEF11","GNA12"
"ARHGEF11","GNA13"
"ARHGEF12","ABCA1"
"ARHGEF12","CD44"
"ARHGEF12","GNA12"
"ARHGEF12","GNA13"
"ARHGEF12","IGF1R"
"ARHGEF15","C11orf49"
"ARHGEF6","CDC42"
"ARHGEF6","PAK3"
"ARHGEF6","TGFBR1"
"ARHGEF6","TMEM108"
"ARHGEF6","YWHAG"
"ARHGEF7","ARHGEF6"
"ARHGEF7","CBLB"
"ARHGEF7","CDC42"
"ARHGEF7","GIT2"
"ARHGEF7","PAK3"
"ARHGEF7","PPM1F"
"ARHGEF7","YWHAG"
"ARID2","SMARCE1"
"ARID3A","E2F1"
"ARID3A","E2F2"
"ARID3A","E2F4"
"ARID4A","SIN3A"
"ARIH1","UBE2L3"
"ARL15","CCDC90B"
"ARL15","GAPDH"
"ARL15","GRIPAP1"
"ARL15","RPL8"
"ARL15","UBR1"
"ARL15","UNC119"
"ARL2","UNC119"
"ARL5A","CBX1"
"ARL5A","CBX5"
"ARL6IP1","FXR2"
"ARL8B","ATP5J2"
"ARNT","AHR"
"ARNT","EP300"
"ARNT","EPAS1"
"ARNT","HIF1A"
"ARNT","NCOA1"
"ARNT","NCOA2"
"ARNT","NCOR2"
"ARNT","SIM1"
"ARNT","TRIP11"
"ARNTL","AHR"
"ARNTL","BHLHE40"
"ARNTL","CLOCK"
"ARNTL","EPAS1"
"ARNTL","HIF1A"
"ARNTL","PER3"
"ARPC1B","ACTB"
"ARPC1B","WAS"
"ARPC3","MAPK6"
"ARPC3","PRMT1"
"ARPC4","ARPC3"
"ARPC4","RNF130"
"ARPC5","MAPKAPK2"
"ARR3","DVL2"
"ARR3","MAP2K7"
"ARRB1","AP1B1"
"ARRB1","DVL1"
"ARRB1","GNPAT"
"ARRB1","HAX1"
"ARRB1","MAPK3"
"ARRB1","RNF135"
"ARRB2","AIP"
"ARRB2","AP1B1"
"ARRB2","AP2B1"
"ARRB2","CHUK"
"ARRB2","CLTC"
"ARRB2","CSNK2A1"
"ARRB2","DVL2"
"ARRB2","FLNA"
"ARRB2","HIPK3"
"ARRB2","MAPK1"
"ARRB2","MED8"
"ARRB2","RALGDS"
"ASAP1","SH3KBP1"
"ASAP2","SH3KBP1"
"ASCC2","ELAC2"
"ASCC2","SNRPB"
"ASCC2","TBC1D17"
"ASCC3","TRIP4"
"ASF1A","HIST1H3C"
"ASGR1","DHFR"
"ASGR1","HSP90AA1"
"ASGR1","HSP90B1"
"ASGR2","ASGR1"
"ASNA1","PFDN1"
"ATF1","CREB1"
"ATF1","CREBBP"
"ATF1","GABPA"
"ATF1","GABPB1"
"ATF1","SPI1"
"ATF2","AR"
"ATF2","ATF7"
"ATF2","CEBPA"
"ATF2","CEBPG"
"ATF2","CREB5"
"ATF2","GTF2F2"
"ATF2","HMGA1"
"ATF2","JDP2"
"ATF2","RB1"
"ATF2","SMAD3"
"ATF2","UBE2I"
"ATF2","UTF1"
"ATF3","BATF3"
"ATF3","CEBPG"
"ATF3","JUN"
"ATF3","JUNB"
"ATF3","JUND"
"ATF4","BATF"
"ATF4","CEBPB"
"ATF4","DDIT3"
"ATF4","GPS2"
"ATF4","NFE2L1"
"ATF4","NFE2L2"
"ATF5","CCND3"
"ATF5","CDC34"
"ATF7IP","ACTB"
"ATF7IP","AP1B1"
"ATF7IP","DISC1"
"ATF7IP","GTF2F1"
"ATF7IP","GTF2H1"
"ATF7IP","LAMA4"
"ATF7IP","LUC7L2"
"ATF7IP","PAPPA2"
"ATF7IP","PCDH1"
"ATF7IP","PEX6"
"ATF7IP","POLR2D"
"ATF7IP","POLR2G"
"ATF7IP","QRICH1"
"ATF7IP","RRBP1"
"ATF7IP","SENP3"
"ATF7IP","SETDB1"
"ATF7IP","SPTBN1"
"ATF7IP","SVEP1"
"ATF7IP","TTC3"
"ATG12","ATG3"
"ATG12","MDFI"
"ATG3","MAP1LC3B"
"ATM","EIF4EBP1"
"ATM","H2AFX"
"ATM","MDC1"
"ATM","MDM2"
"ATM","MDM4"
"ATM","MRE11A"
"ATM","NBN"
"ATM","PRKDC"
"ATM","RAD17"
"ATM","RAD9A"
"ATM","RBBP8"
"ATM","STK11"
"ATM","TOPBP1"
"ATM","TP53BP1"
"ATM","WRN"
"ATM","XRCC5"
"ATN1","AES"
"ATN1","AGRN"
"ATN1","ALG13"
"ATN1","CACNB1"
"ATN1","CBFA2T2"
"ATN1","DMPK"
"ATN1","EWSR1"
"ATN1","MEGF8"
"ATN1","NOC2L"
"ATN1","PSMA3"
"ATN1","RBM10"
"ATN1","RNF31"
"ATN1","SPAG5"
"ATN1","SUMO2"
"ATN1","SYVN1"
"ATN1","WDR5"
"ATN1","ZMYND8"
"ATP1A1","CFL1"
"ATP1A1","MAPK3"
"ATP1B1","PSME1"
"ATP2A2","BCL2"
"ATP2B1","CSE1L"
"ATP2B1","MBIP"
"ATP2B1","SEC31A"
"ATP2B4","RASSF1"
"ATP5A1","ATP5C1"
"ATP5B","ATP5C1"
"ATP5B","CDK4"
"ATP5B","PIN1"
"ATP5C1","PJA1"
"ATP5C1","PNO1"
"ATP5J","MAPK6"
"ATP5J2","CCDC137"
"ATP5J2","ZFPL1"
"ATP6V0C","PDPK1"
"ATP6V1A","ANXA7"
"ATP6V1A","TK1"
"ATP6V1E1","ALDOA"
"ATP6V1E1","SOS1"
"ATP6V1E1","XRCC6"
"ATPIF1","GSK3B"
"ATR","CHD4"
"ATR","MSH2"
"ATR","NBN"
"ATR","TREX1"
"ATR","XRCC5"
"ATRX","HDAC4"
"ATXN1","ANKHD1"
"ATXN1","ATXN1L"
"ATXN1","ATXN2"
"ATXN1","CCNK"
"ATXN1","CDK6"
"ATXN1","COIL"
"ATXN1","DAZAP2"
"ATXN1","DCTN3"
"ATXN1","HPCAL1"
"ATXN1","IPO8"
"ATXN1","KLHL12"
"ATXN1","KLHL8"
"ATXN1","LDB1"
"ATXN1","POM121"
"ATXN1","PQBP1"
"ATXN1","PSMC3"
"ATXN1","PUM1"
"ATXN1","RAD54L2"
"ATXN1","SPEN"
"ATXN1","TBC1D5"
"ATXN1","TRIM32"
"ATXN1","TTC19"
"ATXN1","U2AF2"
"ATXN1","UBE2E3"
"ATXN1","UBE2I"
"ATXN1L","AES"
"ATXN1L","ANKHD1"
"ATXN1L","CBFA2T2"
"ATXN1L","CHD6"
"ATXN1L","COIL"
"ATXN1L","CTBP1"
"ATXN1L","FUS"
"ATXN1L","RAD54L2"
"ATXN1L","TRIP11"
"ATXN2","ATXN1"
"ATXN2","TDRD7"
"ATXN2","ZNRD1"
"ATXN3","ANXA7"
"ATXN3","CDKN1A"
"ATXN3","MKNK1"
"ATXN3","PSMD7"
"ATXN3","RAD23A"
"ATXN3","RAD23B"
"ATXN3","TK1"
"ATXN7","TP53BP2"
"AUP1","RNF11"
"AURKA","CDC20"
"AURKA","CDC25B"
"AURKA","NME1"
"AURKA","PPP1CC"
"AURKB","PSMA3"
"AURKB","TACC1"
"AVEN","SMURF1"
"AVPR1A","GRK5"
"AVPR1A","PRKCA"
"AVPR2","ARRB2"
"AVPR2","C1QTNF1"
"AVPR2","GRK5"
"AXIN1","APC"
"AXIN1","CRMP1"
"AXIN1","CSNK1A1"
"AXIN1","CSNK1E"
"AXIN1","CTNNB1"
"AXIN1","DAB2"
"AXIN1","DVL1"
"AXIN1","DVL2"
"AXIN1","EEF1A1"
"AXIN1","GAK"
"AXIN1","GSK3B"
"AXIN1","JUP"
"AXIN1","PIAS1"
"AXIN1","PPP2R5C"
"AXIN1","SH3GL1"
"AXL","ADAM10"
"AXL","CBL"
"AXL","GAS6"
"AXL","IL2RG"
"AXL","LCK"
"AXL","NCK2"
"AXL","PIK3R1"
"AXL","PLCG1"
"AXL","PTPN11"
"AXL","SHC3"
"AXL","SOCS1"
"B2M","CD1B"
"BACE1","APP"
"BACE1","CSNK1D"
"BACE1","PLSCR1"
"BACE1","PSAP"
"BACE1","RANBP9"
"BACH1","MAFK"
"BAD","BCL2"
"BAD","BCL2L1"
"BAD","EWSR1"
"BAD","MAPK8"
"BAD","PAK7"
"BAD","PPP1CA"
"BAD","SFN"
"BAD","WASF1"
"BAD","YWHAG"
"BAD","YWHAH"
"BAD","YWHAQ"
"BAG1","RB1"
"BAG3","HSPA1A"
"BAG4","BCL2"
"BAI2","SHANK1"
"BAIAP2","ATN1"
"BAIAP2","C14orf1"
"BAIAP2","CDC42"
"BAIAP2","DIAPH1"
"BAIAP2","NCKIPSD"
"BAIAP2","YWHAG"
"BAK1","ARHGDIA"
"BAK1","DBN1"
"BARD1","IKBKAP"
"BARD1","KBTBD7"
"BARD1","MDC1"
"BARD1","MSH2"
"BARD1","POLR2A"
"BARD1","RBBP8"
"BARD1","SETDB1"
"BARD1","TCERG1"
"BATF3","CREB3L3"
"BAX","BAK1"
"BAX","BCL2"
"BAX","BCL2L1"
"BAX","BID"
"BAX","ERN1"
"BAX","MCL1"
"BAX","NOL3"
"BAX","SFN"
"BAX","SH3GLB1"
"BAX","SLC25A4"
"BAX","YWHAQ"
"BBS10","FRZB"
"BBS10","MAP3K7"
"BBS10","MAPK6"
"BBS4","PCM1"
"BCAN","FBLN2"
"BCAP31","APP"
"BCAP31","BCL2L1"
"BCAP31","CASP1"
"BCAP31","CASP3"
"BCAP31","CASP8"
"BCAP31","MYH10"
"BCAR1","CASP3"
"BCAR1","CD2AP"
"BCAR1","CSPG4"
"BCAR1","DOCK1"
"BCAR1","HCK"
"BCAR1","NEDD9"
"BCAR1","PKD1"
"BCAR1","PPP1R15A"
"BCAR1","PTPN12"
"BCAR1","TRIP6"
"BCCIP","CDKN1A"
"BCCIP","FAM46A"
"BCL10","AKT1"
"BCL10","CARD9"
"BCL10","CHUK"
"BCL10","IKBKG"
"BCL10","MALT1"
"BCL10","MAP3K7"
"BCL10","RIPK2"
"BCL10","UBE2N"
"BCL10","UBE2V2"
"BCL2","BAK1"
"BCL2","BNIP2"
"BCL2","MAPK1"
"BCL2","MAPK14"
"BCL2","MAPK8"
"BCL2","PIN1"
"BCL2","PPP1CA"
"BCL2","RAD9A"
"BCL2","TMBIM6"
"BCL2","TOMM20"
"BCL2A1","BAK1"
"BCL2A1","BID"
"BCL2L1","AVEN"
"BCL2L1","BAK1"
"BCL2L1","FBP1"
"BCL2L1","MAPK8"
"BCL2L1","PPP1CA"
"BCL2L1","RAD9A"
"BCL2L11","BCL2"
"BCL2L11","BCL2L1"
"BCL2L11","MAPK8"
"BCL2L11","MAPK9"
"BCL3","GTF2A1"
"BCL3","JUN"
"BCL3","NCOA1"
"BCL3","NFKB2"
"BCL6","EP300"
"BCL6","NCOR1"
"BCL6","RUNX1T1"
"BCL6","SIN3A"
"BCOR","HDAC4"
"BCR","ERCC3"
"BCR","MAP4K5"
